"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"0610039H22Rik",4.5389512245196,0,5.58563852565894,1.42517373975173,0.791068935587872,1.61293199965754,0.880872130361539,0.743691419131125,0,0,0.888208959208649,0
"0610039K10Rik",6.80842683677939,11.6995749736669,11.1712770513179,9.97621617826213,3.95534467793936,12.9034559972603,7.92784917325385,6.69322277218012,8.34023027321963,3.55397101874419,1.7764179184173,4.34420607621491
"0610040B10Rik",9.07790244903919,14.6244687170836,12.2884047564497,5.70069495900693,8.70175829146659,6.45172799863017,8.80872130361539,5.949531353049,10.1936147783796,15.9928695843488,11.5467164697124,18.2456655201026
"0610040F04Rik",100.991664745561,78.9721310722516,74.8475562438297,55.5817758503176,15.0303097761696,3.22586399931509,9.68959343397693,13.3864455443602,10.1936147783796,12.4388985656047,7.10567167366919,8.68841215242981
"0610040J01Rik",13.6168536735588,8.77468123025018,12.2884047564497,2.85034747950347,26.8963438099876,33.8715719928084,29.9496524322923,30.4913481843761,12.0469992835395,10.6619130562326,18.6523881433816,5.21304729145789
"0610043K17Rik",13.6168536735588,14.6244687170836,17.8740432821086,14.2517373975173,15.0303097761696,8.06465999828772,8.80872130361539,12.6427541252291,6.48684576805971,3.55397101874419,9.77029855129514,5.21304729145789
"1010001N08Rik",1.1347378061299,0.974964581138909,0,0,0.791068935587872,0,0,0.743691419131125,10.1936147783796,33.7627246780698,67.5038808998573,93.834851246242
"1110002J07Rik",230.351774644369,241.791216122449,119.532664449101,146.792895194428,36.3891710370421,70.9690079849319,100.419422861215,171.049026400159,43.5545358712581,50.6440870171047,62.1746271446054,59.0812026365227
"1110002L01Rik",1501.25811750986,1433.1979342742,1509.23952963304,1410.92200235422,723.037007127315,759.690971838703,699.412471507062,676.015499990192,937.812559610919,974.676551890594,853.568809799512,698.548337055357
"1110004E09Rik",714.884817861836,769.247054518599,765.232478015274,738.239997191398,545.837565555631,566.139131879798,576.090373256447,552.562724414426,566.208966326355,578.408783300617,570.230151811953,482.206874459855
"1110004F10Rik",2456.70735027123,2372.08882591097,2434.22126948216,2448.44848489348,2458.6422518071,2461.33423147741,2263.84137502916,2231.81794881251,2366.77201308922,2379.38359704923,2186.77045757169,2137.34938949773
"1110006O24Rik",11.347378061299,13.6495041359447,13.4055324615814,21.377606096276,13.4481719049938,16.1293199965754,6.16610491253078,17.1049026400159,26.8740753248188,20.4353333577791,21.3170150210076,27.8029188877754
