ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,MD9-R-EB,MD10-R-EB,MD11-R-EB,MD12-R-EB
Apoe,13642.46455,-1.338908364,0.20611112,-6.496051082,8.25E-11,1.15E-08,22560.61873,16548.73959,8526.043757,6934.456127
Arfgef3,347.4297452,1.091003424,0.344679291,3.165271174,0.001549385,0.016975519,164.0313442,279.9804819,418.8954878,526.8116669
Arhgap45,466.6886207,-1.070264048,0.295481199,-3.62210541,0.000292215,0.004894849,701.7435613,562.9500792,362.9773547,239.0834874
Arhgap5,5376.678281,1.366009662,0.155194831,8.801901792,1.35E-18,8.65E-16,2836.092235,3175.436996,7105.526974,8389.65692
Arhgef6,158.502947,-2.366865788,0.331373987,-7.142581748,9.16E-13,1.94E-10,265.9443095,265.0349046,46.10793425,56.92463985
Arxes1,199.5992288,1.223411354,0.364790439,3.353737447,0.00079728,0.010463678,102.883565,136.5029396,223.6725321,335.3378784
Arxes2,235.8343841,2.687006418,0.291326335,9.223355716,2.88E-20,2.51E-17,66.97137722,59.7823093,376.711633,439.872217
Atf7ip2,294.5807065,1.0877433,0.372486996,2.920218184,0.003497864,0.030746061,133.9427544,243.1147245,354.1481758,447.1171712
Atoh8,78.55617609,-2.148245945,0.664768828,-3.231568408,0.001231129,0.014349584,172.7667412,83.69523302,41.20283486,16.55989523
Atp1a3,196.5303174,1.591688124,0.593117068,2.683598583,0.00728345,0.049967304,53.38298184,142.4811705,182.4696972,407.78742
Atp2b4,1210.967006,-1.341359017,0.309987616,-4.327137438,1.51E-05,0.000457027,2025.641511,1447.728257,862.3164725,508.1817848
B3galt1,94.14833995,2.311886771,0.532031764,4.345392376,1.39E-05,0.0004311,23.29439208,39.85487287,115.7603456,197.6837493
B4galt4,358.974312,1.141122004,0.397386301,2.871568546,0.004084402,0.034122178,165.9725435,281.9732255,365.9204144,622.0310645
Bace2,57.66226926,-2.088660171,0.628533693,-3.323067951,0.000890332,0.01138194,93.17756831,93.65895123,31.39263609,12.41992142
Barhl2,107.512919,-1.424939572,0.408194217,-3.490837232,0.00048151,0.007122007,130.0603558,183.3324152,61.80425229,54.85465294
BC064078,67.88069544,2.54721884,0.858995365,2.965346432,0.003023423,0.027536602,5.823598019,33.87664194,75.53853058,156.2840112
BC085271,91.06945738,1.153475524,0.406384528,2.838384449,0.004534253,0.036508514,62.11837887,50.8149629,115.7603456,135.5841422
Bche,96.35821331,1.148491483,0.390828014,2.93861095,0.003296866,0.029500272,66.00077755,53.80407837,138.3238028,127.3041946
Bcl6,192.4060841,-1.063270436,0.387893174,-2.741142422,0.006122596,0.044500895,279.5327049,241.1219808,158.9252202,90.0444303
Bcl9l,2862.742023,-1.13887236,0.221059732,-5.151876134,2.58E-07,1.45E-05,4514.259065,3360.762154,2012.071769,1563.875106
Bclaf3,767.4738161,1.178300963,0.234117513,5.032946701,4.83E-07,2.52E-05,444.5346488,496.1931672,899.5952278,1229.572221
Bhlhe22,98.93331615,-1.508254949,0.535140018,-2.8184305,0.004825906,0.038049025,113.5601614,179.3469279,68.67139144,34.15478391
Bicd1,1225.134575,1.681319327,0.392929268,4.278936347,1.88E-05,0.000545694,410.5636604,754.253469,1271.401761,2464.319409
Bmp6,99.40550121,-1.680566439,0.433638789,-3.87549841,0.000106407,0.002277657,180.5315386,122.5537341,50.03201376,44.50471842
C1galt1,1262.174152,1.190833724,0.156961223,7.586802043,3.28E-14,9.70E-12,772.5973372,765.213559,1652.037474,1858.848239
C1qtnf12,306.7073945,-1.138828282,0.293252126,-3.88344425,0.000102987,0.002220095,454.2406455,389.5813823,224.653552,158.3539981
CAAA01147332.1,478.5577244,-1.786125737,0.206641461,-8.64359808,5.45E-18,2.98E-15,699.802362,784.1446236,211.9002936,218.3836183
Cabp1,487.9779935,-1.744392352,0.304235479,-5.733691415,9.83E-09,8.17E-07,604.6835943,898.7273831,257.0272079,191.4737886
Cacna1d,227.894817,-1.030249425,0.278415966,-3.700396355,0.000215263,0.003904294,329.0332881,282.9695973,160.8872599,138.6891225
Cacnb2,208.3861329,1.584631499,0.439788651,3.603165965,0.000314365,0.005160675,66.00077755,142.4811705,283.5147446,341.5478391
Calcr,367.9823802,1.61566426,0.474492379,3.40503732,0.00066155,0.009060174,132.9721548,229.165519,333.5467584,776.2450888
Camk2b,325.1829596,1.156465294,0.414497603,2.790040969,0.005270137,0.040266317,138.7957528,264.0385327,347.2810367,550.6165163
Capn5,1264.183056,-1.204619169,0.344977801,-3.491874448,0.000479644,0.007101511,1926.640345,1600.173146,1031.051891,498.8668437
Car3,116.78774,1.622368976,0.481964325,3.366159882,0.000762225,0.010111276,37.85338712,76.72063027,156.9631804,195.6137624
Casr,93.6154857,-1.930485757,0.544579742,-3.544909239,0.000392748,0.006160276,156.2665468,140.4884269,54.93711315,22.76985594
Ccdc141,96.58207924,1.771350888,0.517608544,3.422182473,0.000621206,0.008587158,44.64758481,42.84398833,99.08300764,199.7537362
Ccdc39,94.78637423,1.530512992,0.4100883,3.732154735,0.000189849,0.003555398,42.70638547,54.80045019,129.4946239,152.1440374
Ccdc40,292.5053462,1.08398078,0.395013779,2.744159414,0.006066607,0.044224339,134.9133541,240.125609,317.8504404,477.1319813
Ccdc85a,203.2548636,1.173958024,0.356965083,3.288719489,0.001006443,0.012435754,131.0309554,118.5682468,218.7674327,344.6528194
Ccnc,704.3523612,1.100584393,0.205207592,5.363273279,8.17E-08,5.19E-06,443.5640491,452.352807,855.4493333,1066.043255
