"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-9"
"Gm38069",0,0,0.1185,0.1809
"Gm7560",0,0.2707,0,0.1481
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",0.5678,1.4644,0.6294,0.801
"Gm6216",0.1668,0,0.1848,0.1882
"Gm17644",0,0.0739,0,0.0404
"Gm29663",0,0,0.1489,0
"Sulf1",40.8981,47.2964,63.7639,60.5401
"Slco5a1",5.2322,7.6824,8.7578,6.4554
"Gm37162",0,0,0,0
"Gm5250",0,0.3682,0,0
"Gm29283",0.3978,0.4103,0.4409,0.4489
"Prdm14",2.1893,4.5169,4.2098,6.7562
"Ncoa2",28.8925,25.884,25.922,23.8435
"Gm38376",3.0508,2.4129,3.5509,2.123
"Gm37409",1.1977,1.4536,1.3277,1.1131
"Gm27881",1.3971,5.7648,1.5486,3.1531
"Gm38223",0.1648,0.5101,0.3654,0.744
"Gm37702",1.8359,1.0101,1.4245,0.6215
"Gm23169",0,0,3.4015,2.3085
"Gm38120",1.5794,1.4257,1.4225,1.2254
"Gm38380",2.4461,2.1028,3.1069,1.8402
"Gm29570",0.1682,0.5206,0.3729,0.5695
"Gm7593",2.3125,3.4866,0.9859,0.803
"Tram1",101.9512,99.8272,161.4458,164.2727
"Lactb2",27.4982,31.1104,38.5748,35.7306
"Gm38319",2.7147,3.3605,3.8116,3.1655
"Xkr9",0,0,0,0
"Gm26273",0,0,0,0
"Gm5523",2.1832,2.4892,4.5853,2.2043
"Gm36947",0,0,0.0565,0
"Gm25491",0,0,0,0
"Gm37400",0,0,0,0
"Eya1",4.9151,3.4509,4.4888,3.6094
"Gm22616",0,2.3636,0,0
"Gm37444",0,0,0.8678,0.2945
"Gm9947",0.0643,0.1657,0.0712,0.2175
"Msc",0.8099,1.7174,0.6484,1.6756
"Gm37412",0.0795,0.0273,0,0.1496
"Smt3h2-ps4",0,0,0,0
"Rpl5-ps1",3.7161,3.5691,4.4034,5.4949
"Trpa1",0.215,0.6099,1.4001,2.0318
"Gm26345",0,0,0,0
"Gm10566",3.2205,3.7969,6.7574,4.6726
"Kcnb2",0.2417,0.1169,0.201,0.0511
"Gm38116",0,0,0.0828,0
"Gm37138",0.1645,0,0,0
"Gm25227",0,0,0,0
"Gm25168",0,0,0,0
"Gm6060",0,0,0,0
"Gm28669",0,0,0,0
"Terf1",42.2387,52.9339,60.2973,69.3791
"Gm37509",0.5061,0.4475,0.3606,0.4487
"Sbspon",0.0417,0.129,0.0924,0.2823
"Gm23259",0,0,0,0
"Gm7634",0,0.4274,0,0
"4930444P10Rik",0.1111,0.0573,0.0616,0.188
"Rpl7",1044.5905,1053.3552,1073.9395,1075.9672
"Rdh10",8.8398,7.2441,9.0662,7.7379
"Gm38249",0,0,0,0
"Gm28095",0,0.156,0.2515,0
"Stau2",12.327,10.7721,13.1562,12.5884
"Gm7568",0.3426,0,0.1266,0
"Ube2w",10.8285,11.2904,17.3353,16.284
"Gm38342",1.0764,1.0311,1.6193,1.5183
"Eloc",33.5046,39.3667,66.1378,71.9006
"D030040B21Rik",0.1233,0.1696,0.2277,0.1855
"Gm7654",0,0,0.1859,0
"Tmem70",44.313,41.8169,54.0746,48.656
"Ly96",0.561,1.1575,1.1194,1.1396
"Gm29649",0,0,0,0
"Gm5828",3.0795,2.8591,2.6627,2.0851
"Gm28376",0,0,0.7215,0.7345
"4921511E07Rik",0.1385,0,0.1536,0
"Jph1",17.42,23.7869,26.729,34.3494
"Gm28783",0,0.3292,0,0
"Gdap1",0.1037,0.0917,0.23,0.2843
"Gm28784",0,0,0,0
"Gm28785",0,0,0,0
"Gm5251",1.9417,1.7526,0.5381,1.0956
"Rbm6-ps1",0.1597,0.3706,0.3097,0.4955
"Gm6075",0,0,0.2613,0
"Gm25166",0,0,0,0
"Pi15",0.0331,0.1195,0.0734,0.1494
"Gm28154",0.0272,0.0841,0.2408,0.0919
"Gm16070",0.151,0.2407,0.4717,0.6506
"Crispld1",8.982,6.8839,10.069,11.0808
"Gm28153",1.2749,0.3758,0.8076,1.6442
"Gm7690",0,0,0.1815,0.0924
"Gm18775",0,0,0,0.2206
"Gm17969",0.0896,0,0.298,0.0506
"Gm28756",0.0892,0.138,0.3953,0.4024
"Gm28755",0,0,0,0
"Gm45784",0,0,0,0
"Crisp4",0,0,0,0
"Defb44-ps",0,0,0,0
"Defb18",0,0,0,0
"Defb41",0,0,0,0
"Gm17837",0,0,0,0.3937
"Gm5252",0,0.13,0,0
"Gm24075",0,0,0,0
"Gm28343",0,0,0,0
"Gm28344",0,0,0,0
"Gm15825",0,0,0,0
"Tfap2d",0,0,0,0
"Gm10075",0.6306,1.0842,0,0.7116
"Tfap2b",0.0542,0.1492,0.8415,0.8975
"Gm28340",0,0,0,0
"Gm28341",0,0,0,0
"Gm4849",0.408,0.7366,0.3392,0.4029
"Gm24633",0,0,0,0
"Gm38382",0,0,0,0
"Pkhd1",0.016,0.0248,0.0089,0.0542
"Gm37315",0,0,0.0365,0
"4930486I03Rik",0,0,0,0.1641
"Gm15795",0.6215,0.2137,0,0
"Gm24162",0,0,0,0
"Gm28653",0,0,0.0229,0
"Mir206",0,0,0,0
"Mir133b",0,0,0,0
"Il17a",0,0,0,0
"Il17f",0.2833,0.1753,0.1884,0.2557
"Mcm3",244.9649,276.6413,291.9506,314.5412
"Gm20587",0,0.1993,0.2141,0
"Gm28065",0,0,0,0
"Gm24723",0,0,0,0
"6720483E21Rik",0.4091,0.7386,0.3401,0.9234
"Paqr8",4.4463,4.5652,6.7335,9.658
"Gm24171",0,0,0.9694,0
"Gm28064",0,0,0.148,0
"Efhc1",1.8159,1.9268,3.1057,2.4005
"Tram2",13.7416,13.2531,16.586,14.9246
"Gm28287",0.6294,0.4329,1.8606,1.1838
"Gm2693",0.4013,0.207,0.6672,0.4528
"Tmem14a",2.7983,3.7614,5.0758,6.2198
"Gm38224",0.1091,0.1126,0.0605,0
"Gsta3",0.3692,0.8161,0.3508,1.4582
"Gm28836",0,0.3734,0.6018,0.8169
"Gm7094",0,0,0,0.3532
"Gm4956",0,0,0,0.0947
"Gm21909",0,0,0,0
"Khdc1a",0.0577,0.1784,0,0.0651
"Gm16329",0.3088,0,0,0
"Gm16327",0,0,0,0
"Khdc1c",0.0589,0.1822,0,0
"Gm2709",0.3273,0,0,0
"Gm16533",0,0,0,0
"Khdc1b",0,0,0.0568,0
"Gm16328",0.5845,0,0,0
"Kcnq5",7.7773,3.5504,2.8076,0.6221
"Gm36949",0.5908,0.1524,0.1637,0
"Gm7658",2.548,3.3645,2.9374,3.9105
"Gm38243",1.2428,0.4525,0.1621,0.165
"Gm5696",0,0,0,0
"Gm28239",0,0,0,0
"Rims1",1.1865,2.2212,1.7211,2.8596
"Gm26866",0,0,0.1583,0.1612
"Gm7761",0,0,0,0
"Gm29506",0,0,0,0
"Ppp1r14bl",0,0,0,0
"Gm24176",0,0,0,0
"Gm6420",0.1584,0.1635,0.1756,0.1788
"Mir30a",9.6811,1.6645,5.3657,7.2831
"Gm27028",1.4356,2.3695,2.8644,2.592
"Mir30c-2",0,0,0,0
"Gm29107",0,0,0.7319,0
"Gm20954",0,0.1835,0,0
"Ogfrl1",8.208,8.0884,11.7451,11.9089
"Gm7784",0.3475,0.5975,0.642,0.1307
"Gm28822",0,0,0,0
"B3gat2",1.4221,1.3336,1.9244,1.5214
"Smap1",50.0856,46.3456,50.7952,39.4156
"Sdhaf4",16.6465,19.2006,24.4096,24.4056
"Gm26524",0,0.9091,0.9768,0.3315
"Fam135a",29.8004,29.2519,46.6913,37.4872
"Gm37580",0.6137,0.5487,0.4082,0.554
"Gm26607",0,0,0,0
"Col9a1",2.8708,2.4018,2.1048,0.2806
"Col19a1",0.4658,0.6006,0.4794,0.1314
"Gm26418",0,0,0,0
"Tubb4b-ps2",0.1714,0.5303,0.3799,0.4835
"Gm28439",0,0,0,0
"Gm10222",0.7793,0,5.6151,6.156
"Gm28438",18.2631,16.7847,81.3459,82.4367
"Gm28437",0,0,0,0.1651
"Gm10925",0,0.1743,0,0.3813
"Gm28661",0,0,0.1865,0
"Gm29216",0.4657,0.2402,1.0324,0.7883
"Lmbrd1",20.8744,17.4689,21.9885,19.1311
"Gm28594",0,0,0,0
"Gm28237",0,0,0,0
"Gm9443",0,0,0,0
"Gm29414",0,0,0,0
"Adgrb3",0.1543,0.2802,0.5816,0.606
"Gm15702",0,0,0,0
"Gm20172",0,0,0.1637,0.1667
"Gm22260",0,0,0,1.2082
"Gm37543",0,0,0,0.1254
"Gm37331",0.0339,0.035,0.1505,0.2298
"Gm37211",0,0.1033,0,0.1506
"Gm37862",0,0,0,0.051
"Gm38286",0.0738,0,0.0409,0.1665
"Gm37880",0,0.0726,0.078,0.0397
"Gm25294",0,0,0,0
"Gm37011",0,0.0805,0.1298,0.0881
"Gm29214",0,0.2073,0,0
"Gm37051",0,0.0402,0,0.0439
"Gm38260",0,0.0592,0.0954,0.2265
"Gm37628",0,0.0217,0.1167,0.2852
"8030445P17Rik",0,0.1293,0.2316,0.1415
"Gm38198",0,0.099,0.2128,0.1444
"Gm37077",0.0621,0.064,0.2408,0.1051
"Gm37895",0.0252,0.1558,0.2233,0.2273
"Gm36952",0.0632,0.0978,0.3853,0.6419
"Gm37602",0,0.1428,0.4604,0.5077
"2900022M07Rik",0.2253,0.2324,0,0.5085
"2900002M20Rik",0.6943,0,0.7696,3.9174
"Gm9884",0,0.0967,0.3118,0.1058
"Gm18443",0,0,0,0
"Gm19123",0,0,0,0
"Gm24064",0,0,0,0
"4931408C20Rik",0,0.0274,0,0
"Gm19641",0,0,0,0
"Gm5524",0,0,0,0
"Gm18776",0,0,0,0
"Gm19028",0.367,0.2524,0.5424,0.2761
"Gm38089",0,0,0,0
"Gm7846",0.8362,2.1565,5.5615,4.2463
"Gm597",0,0,0.044,0
"Gm5697",0.0462,0.0476,0.1535,0.1042
"Gm6462",0,0,0,0
"Gm18033",0,0,0,0
"Gm25586",0,0,0,0
"Gm22679",0,0,0,0
"Gm23785",0,0,0,0
"Mir6342",0,0,0,0
"Gm5525",3.2307,1.9816,3.0973,3.0545
"AC125120.1",0,0,0,0
"Gm7858",0.5525,0.19,0.2042,0
"Gm23771",0,0,0,0
"Gm27430",0,0,0,0
"Gm9898",0,0,0,0
