"","MD-R-EB-5","MD-R-EB-6","MD-R-EB-7","MD-R-EB-8"
"Rdh10",322,283,136,281
"Gm38249",0,0,0,0
"Gm28095",0,2,0,1
"Stau2",911,834,404,976
"Gm7568",1,2,2,0
"Ube2w",751,639,372,815
"Gm38342",23,21,6,24
"Eloc",2158,1843,1053,2300
"D030040B21Rik",9,7,2,6
"Gm7654",2,1,0,1
"Tmem70",768,604,362,665
"Ly96",18,11,7,17
"Gm29649",0,0,0,0
"Gm5828",49,52,18,47
"Gm28376",2,0,0,0
"4921511E07Rik",0,2,1,1
"Jph1",1533,1337,857,1700
"Gm28783",0,0,0,1
"Gdap1",19,11,8,17
"Gm28784",0,0,0,0
"Gm28785",0,3,1,1
"Gm5251",26,13,6,10
"Rbm6-ps1",18,6,7,5
"Gm6075",0,0,1,0
"Gm25166",0,0,0,0
"Pi15",10,15,5,2
"Gm28154",1,1,2,3
"Gm16070",39,23,26,57
"Crispld1",418,356,250,532
"Gm28153",4,11,3,15
"Gm7690",1,0,0,1
"Gm18775",2,0,1,0
"Gm17969",7,5,3,8
"Gm28756",12,3,6,7
"Gm28755",0,0,0,0
"Gm45784",0,0,1,0
"Crisp4",0,0,0,0
"Defb44-ps",0,0,0,0
"Defb18",0,0,0,0
"Defb41",0,0,0,0
"Gm17837",1,4,1,2
"Gm5252",1,2,0,0
"Gm24075",0,0,0,0
"Gm28343",0,0,0,0
"Gm28344",0,1,0,0
"Gm15825",0,3,1,0
"Tfap2d",1,0,0,0
"Gm10075",3,3,1,4
"Tfap2b",1,0,1,2
"Gm28340",0,0,0,0
"Gm28341",0,0,0,0
"Gm4849",10,10,5,12
"Gm24633",0,0,0,0
"Gm38382",0,0,0,0
"Pkhd1",20,11,10,16
"Gm37315",1,0,1,1
"4930486I03Rik",0,0,0,0
"Gm15795",3,1,0,4
"Gm24162",0,0,0,0
"Gm28653",0,0,0,0
"Mir206",0,0,0,0
"Mir133b",0,0,0,0
"Il17a",0,0,0,0
"Il17f",13,5,4,3
"Mcm3",12222,10261,5962,11251
"Gm20587",1,1,1,0
"Gm28065",0,0,0,0
"Gm24723",0,0,0,0
"6720483E21Rik",4,7,4,1
"Paqr8",436,413,314,595
"Gm24171",1,0,1,2
"Gm28064",3,1,3,2
"Efhc1",38,39,21,30
"Tram2",802,665,398,706
"Gm28287",0,0,0,11
"Gm2693",2,1,1,1
"Tmem14a",74,75,41,81
"Gm38224",1,0,0,3
"Gsta3",57,47,48,78
"Gm28836",3,4,2,1
"Gm7094",1,0,0,1
"Gm4956",0,0,1,0
"Gm21909",0,0,0,0
"Khdc1a",6,1,1,3
"Gm16329",0,0,1,0
"Gm16327",0,0,0,0
"Khdc1c",1,4,0,1
"Gm2709",0,0,0,0
"Gm16533",0,0,0,0
"Khdc1b",0,2,0,0
"Gm16328",0,0,0,0
"Kcnq5",55,61,19,32
"Gm36949",0,1,1,0
"Gm7658",36,26,21,37
"Gm38243",2,2,1,3
"Gm5696",0,0,0,0
"Gm28239",0,0,0,0
"Rims1",739,504,146,303
"Gm26866",0,0,0,0
"Gm7761",0,0,0,0
"Gm29506",0,0,1,0
"Ppp1r14bl",0,0,0,0
"Gm24176",0,0,0,0
"Gm6420",0,0,0,0
"Mir30a",4,2,1,1
"Gm27028",7,8,1,5
"Mir30c-2",0,0,0,0
"Gm29107",0,3,2,2
"Gm20954",0,0,0,0
"Ogfrl1",810,710,451,808
"Gm7784",4,3,1,8
"Gm28822",0,0,0,0
"B3gat2",106,80,43,93
"Smap1",1321,1078,556,1134
"Sdhaf4",254,210,93,199
"Gm26524",0,0,0,1
"Fam135a",2303,1892,1076,2119
"Gm37580",17,15,11,27
"Gm26607",0,0,1,0
"Col9a1",8,7,4,6
"Col19a1",1,3,0,1
"Gm26418",0,0,0,0
"Tubb4b-ps2",1,3,0,2
"Gm28439",0,0,0,0
"Gm10222",20,6,14,17
"Gm28438",452,343,300,532
"Gm28437",1,0,0,0
"Gm10925",3,1,0,0
"Gm28661",3,1,1,1
"Gm29216",1,3,2,3
"Lmbrd1",895,808,410,826
"Gm28594",0,0,0,0
"Gm28237",0,0,0,0
"Gm9443",2,0,0,2
"Gm29414",0,0,0,0
"Adgrb3",104,65,35,75
"Gm15702",0,0,0,1
"Gm20172",3,2,0,0
"Gm22260",1,0,0,0
"Gm37543",0,1,0,0
"Gm37331",6,0,2,1
"Gm37211",0,1,1,2
"Gm37862",2,1,1,0
"Gm38286",6,2,0,2
"Gm37880",2,0,0,3
"Gm25294",0,0,0,0
"Gm37011",8,2,0,3
"Gm29214",3,4,1,0
"Gm37051",8,3,2,0
"Gm38260",5,8,1,10
"Gm37628",17,5,0,8
"8030445P17Rik",7,2,5,4
"Gm38198",10,8,7,5
"Gm37077",5,6,7,3
"Gm37895",18,14,14,14
"Gm36952",31,21,3,10
"Gm37602",23,19,3,21
"2900022M07Rik",5,5,4,5
"2900002M20Rik",11,3,2,5
"Gm9884",0,3,2,2
"Gm18443",0,0,0,0
"Gm19123",0,0,0,0
"Gm24064",0,0,0,0
"4931408C20Rik",0,0,0,0
"Gm19641",1,1,0,0
"Gm5524",0,0,0,0
"Gm18776",0,0,0,0
"Gm19028",4,7,1,4
"Gm38089",0,0,0,0
"Gm7846",16,10,3,10
"Gm597",0,0,0,0
"Gm5697",2,2,2,4
"Gm6462",0,0,0,0
"Gm18033",0,0,0,0
"Gm25586",0,0,0,0
"Gm22679",0,0,0,0
"Gm23785",0,0,0,0
"Mir6342",0,0,0,0
"Gm5525",35,33,19,56
"AC125120.1",0,0,0,0
"Gm7858",2,3,0,1
"Gm23771",0,0,0,0
"Gm27430",0,0,0,0
"Gm9898",0,0,0,0
"Gm6473",0,0,0,2
"Gm2914",0,1,0,0
"Phf3",11722,9626,4925,9908
"Gm37522",97,84,41,95
"Gm37906",277,237,119,247
"Ptp4a1",1972,1518,1002,1905
"Gm5698",0,0,0,0
"Gm9458",0,0,0,0
"4931428L18Rik",1,0,0,0
"Gm28644",0,0,0,0
"Gm29128",0,0,0,0
"Gm7893",0,0,0,0
"Lgsn",0,0,0,0
"Pih1d3",0,0,0,0
