"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"1110002J07Rik",111.062469280266,1.38946207973855,0.378725869959794,3.66878048200421,0.000243710222698228,0.013081586364376,230.351774644369,241.791216122449,119.532664449101,146.792895194428,36.3891710370421,70.9690079849319,100.419422861215,171.049026400159,43.5545358712581,50.6440870171047,62.1746271446054,59.0812026365227
"2500002B13Rik",212.870389578818,0.76112896251894,0.235973474656321,3.22548525264321,0.00125759314620882,0.0442729238030672,439.143530972271,356.837036696841,392.111824501257,417.575905747258,79.1068935587871,82.2595319825347,123.322098250616,148.738283826225,120.469992835395,129.719942184163,127.013881166837,138.145753223634
"3830417A13Rik",72.6425056786246,3.24445531594105,0.518006844349573,6.26334449309236,3.76806909793189e-10,1.47760642931957e-07,4.5389512245196,5.84978748683345,17.8740432821086,37.054517233545,24.523137003224,11.2905239976028,158.556983465077,197.821917488879,34.2876133454585,15.9928695843488,153.660149943096,210.259574088801
"4921524J17Rik",844.152815171077,0.586308571215729,0.177300239492027,3.30686846727072,0.000943451806261715,0.0358029815833243,969.066086434934,855.043937658823,956.26131559281,883.607718646074,603.585597853546,743.561651842128,888.799979534793,1124.46142572626,548.601813527336,733.895015370675,921.960899658578,900.988340206972
"4930427A07Rik",781.432913208361,0.416948643988597,0.1235283020927,3.37532886735305,0.000737275297490541,0.0298425354562462,743.253263015084,817.995283575545,947.324293951756,952.016058154157,742.813730517011,737.109923843497,975.125448310224,1001.00865015049,698.725958445289,605.063565941198,612.864181853968,543.894600742106
"4933402E13Rik",49.2701167999675,2.13901446626106,0.4175704762003,5.12252323422172,3.01473934180965e-07,5.67454337177691e-05,51.0632012758455,42.898441570112,64.7934068976437,69.8335132478349,23.7320680676361,25.8069119945207,90.7298294272386,125.68384983316,13.9003837886994,16.8813623390349,34.6401494091373,31.2782837487473
"6030419C18Rik",68.6227433723705,1.44028848742521,0.392984122906741,3.66500426727673,0.000247334458999963,0.0131759266328395,88.5095488781321,85.796883140224,98.3072380515973,115.43907291989,32.4338263591027,54.8396879883565,110.109016295192,119.734318480111,26.8740753248188,14.2158840749768,34.6401494091373,42.5732195469061
"A2m",179.682424392085,-1.65741191930798,0.443014679235234,-3.74121219226671,0.000183134815982476,0.0107721424884359,502.688848115545,815.070389832128,156.39787871845,132.541157796911,33.2248952946906,41.9362319910961,12.3322098250616,11.1553712869669,117.689916077655,187.471971238756,66.6156719406487,79.0645505871113
"A4galt",286.73134645112,1.28240292974128,0.316067396541334,4.05737176239743,4.96280509832437e-05,0.0039297382195059,438.008793166141,457.258388554148,463.607997629692,453.205249241051,81.4801003655508,88.7112599811649,186.744891636646,225.338499996731,171.438066727292,267.4363191605,209.617314373241,397.929276581285
"Aard",204.21020543171,2.04603786861929,0.283331845382785,7.22134804809911,5.14747183956266e-13,3.6333429979553e-10,259.854957603747,278.839870205728,274.81341546242,342.041697540416,108.376444175538,101.614715978425,391.107225880523,478.193582501313,62.0883809228573,38.2051884515,71.9449256959006,43.4420607621491
"Abca7",627.173455560706,0.759479305319648,0.166177783411474,4.57028183748905,4.87068732787658e-06,0.000619454891960664,591.198396993677,586.928677845623,892.585036400298,818.049726617495,336.204297624845,370.974359921235,571.686012604639,620.238643555358,568.062350831515,582.851247074047,674.150600039365,913.152117220373
"Abcd1",208.92619765717,0.721682456739331,0.205004052432053,3.5203326381976,0.000431005898855255,0.0199492140135726,175.884359950134,151.119510076531,128.469686090156,145.367721454677,151.094166697283,159.680267966097,234.311986676169,275.909516497647,230.74637089241,238.116058255861,297.550001334898,318.864725994174
"Acly",14417.7949569457,-0.265959404267382,0.0839574534266029,-3.16778789032576,0.00153603543718957,0.0498510657969138,13402.3882282002,14067.7639412533,13282.648414017,13520.6232690247,16023.1012903323,17724.5097442367,14201.4204856887,13854.9711384129,14009.7334745038,15634.8070042104,13047.7896107751,14243.7828826934
"Adgre5",831.338067075705,0.897069445862396,0.166110478394642,5.40043863898314,6.64781475382723e-08,1.5958996920784e-05,1689.62459332742,1539.46907361834,1276.87696696563,1221.37389496723,356.77208995013,493.557191895208,724.076891157185,841.114995037302,350.289671475225,306.530000366686,556.018808464614,620.352627683489
"Adgrg6",104.392607075655,1.94220243437476,0.335577668261046,5.78763910137165,7.13825700250822e-09,1.92900816765601e-06,41.9852988268063,43.8734061512509,62.5591514873801,71.2586869875866,70.4051352673206,85.4853959818498,258.976406326293,334.661138609006,56.5282274073775,28.4317681499535,100.367612390577,98.1790573224569
"Adrb3",175.232386306643,0.958984082780735,0.259027626000262,3.70224634950624,0.000213698967588848,0.0119521903384643,195.174902654343,202.792632876893,363.066504167831,307.837527786374,110.749650982302,82.2595319825347,162.961344116885,217.90158580542,88.0357639950961,100.399681279523,143.889851391801,127.719658640718
"Aes",1386.99730048883,0.653273538850044,0.110178216198421,5.9292441046019,3.04332381865851e-09,8.76787803020452e-07,2931.02775323353,2598.28060873519,2301.28307257148,2204.74377539593,627.317665921182,554.848607882195,944.29492374757,927.383199656512,697.799266192709,677.919971825454,1076.50925856088,1102.55950214334
"Afap1",860.758093946195,1.05431895907125,0.202103150285117,5.21673688699986,1.82102643231283e-07,3.71906760413504e-05,293.897091787644,327.588099262673,433.445549591133,468.88216037832,546.628634491219,582.268451876373,1089.63882525722,1251.63265839768,855.336949131302,1382.49472629149,1428.24000640751,1669.04397448177
