"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB"
"0610007P14Rik",1108.07761679922,-0.0294490684554136,0.103331292611081,-0.284996613429139,0.775646736478642,0.934557163437761,1128.31965319285,1108.93877063638,1161.87854703689,1033.17349633074
"0610009B22Rik",392.279001048989,-0.0877532522153253,0.151266989480038,-0.580121628102514,0.561832599576778,0.851440845441569,406.030356951881,402.179614843848,382.07575041229,378.830281987937
"0610009O20Rik",1075.93165343427,0.110609641399899,0.0991973911049075,1.11504587134678,0.264830765163815,0.637810379850498,1050.07850935831,1018.0697363202,1108.48000842505,1127.09835963353
"0610010B08Rik",30.2063774742758,-0.248166375733739,0.520628145047525,-0.476667229949863,0.633599101509703,0.881462918713061,30.4728665460844,35.3379577896268,27.6199337647438,27.3947517966483
"0610010F05Rik",1104.1160979191,-0.396857182741073,0.100410934682334,-3.95233033131894,7.73938020061349e-05,0.00207969492861622,1204.0900240642,1309.18719811094,948.284392589538,954.902776911742
"0610010K14Rik",803.784931936316,-0.0719013902323029,0.117515151352593,-0.611847829022231,0.540638441668791,0.841027499405384,766.763209578502,885.131704635414,789.930105671674,773.314707859673
"0610012G03Rik",323.851759362518,0.168962061890337,0.171698804915351,0.984060791649868,0.325085623523266,0.696018495136042,331.083577068268,275.972622738038,347.090500976948,341.260336666819
"0610030E20Rik",733.962032936367,0.212724131814696,0.13431162024789,1.58381033169048,0.113236887451023,0.409860558038135,759.350890688914,594.014242844679,829.51867740114,752.964320810735
"0610037L13Rik",376.137342827489,0.0736962533195668,0.154791826583055,0.476099125815435,0.634003759769548,0.881503918858163,364.850807565281,368.524416948965,377.472428118166,393.701718677546
"0610040J01Rik",31.6834094835866,0.0189114748563721,0.511206800798214,0.0369937857376764,0.970489960613515,0.993812757738591,28.0020935828884,35.3379577896268,31.302591600043,32.0909949617881
"1110002J07Rik",99.2262559435325,1.40205548160907,0.36932445991457,3.79627030912978,0.000146889331870235,0.00349197151771374,37.8851854356725,74.0414353687419,104.955748306027,180.022654663689
"1110002L01Rik",746.957623259275,-0.0965433303505673,0.115316028748917,-0.837206513248696,0.402476497014146,0.753690353028486,752.762162787057,792.579910424487,731.007580306887,711.480839518667
"1110004E09Rik",585.648126486207,0.0326029887116737,0.127539311165644,0.255630898533943,0.798235857343019,0.942988626663078,568.277781535087,590.648723055191,602.114556071416,581.551445283135
"1110004F10Rik",2460.6560845486,-0.120942861216126,0.0739626308022759,-1.63518874199381,0.102009487451879,0.389153555863848,2559.72078987109,2567.89159937955,2366.10765917972,2348.90428976405
"1110008F13Rik",1518.64216913306,-0.00669831511135613,0.0923134413948744,-0.0725605611722763,0.942155811578533,0.986108401759936,1507.99509853731,1536.35978390139,1595.51150714337,1434.70228695018
"1110008L16Rik",1097.20618696761,-0.0915385281197575,0.101829044838398,-0.898943206872148,0.368682912251018,0.731562170247388,1078.0806029412,1189.7112455841,1075.33608790736,1045.69681143778
"1110008P14Rik",200.630631054811,0.402063082972405,0.209806682373758,1.916350224995,0.0553205319322914,0.273376453326944,173.777698411454,171.641509263902,240.293423753271,216.809892790617
"1110012L19Rik",261.164983737344,-0.101707310577104,0.189559203468279,-0.536546412499163,0.591580968228695,0.86428139762796,249.548069282799,292.800221685479,265.151364141541,237.160279839556
"1110019D14Rik",104.910107012595,-0.0951008420342229,0.282530693055583,-0.336603577493485,0.736415758985623,0.923075223736492,112.008374331553,104.331113474136,103.114419388377,100.186520856314
"1110032A03Rik",70.1371596486974,0.260093599058827,0.345112420344921,0.75364890895227,0.451060067864094,0.786919496948196,66.7108700062928,60.5793562107888,77.3358145412827,75.9225978364254
"1110032F04Rik",41.8587078711783,-0.161009422260817,0.457422681546516,-0.351992650903219,0.724843773967097,0.918911629741491,35.4144124724764,53.8483166318123,35.905913894167,42.2661884862574
"1110034G24Rik",85.4094098399199,0.0695417330922505,0.335100053743661,0.207525281823581,0.835599650370595,0.957228362853003,65.8872790185608,102.648353579392,79.1771434589323,93.9248633027943
"1110037F02Rik",3241.62819102589,-0.0811978748437645,0.0685275983538034,-1.18489304739012,0.236059736683477,0.604065027257369,3337.19068229011,3328.4990718039,3123.81450879253,3177.00850121702
"1110038B12Rik",2196.43354319107,-0.0059425149137301,0.0848383833116043,-0.0700451220516984,0.944157745604684,0.986898235719487,2336.52763219571,2058.01535127207,2169.08546499122,2222.10572430528
"1110038F14Rik",456.736342789713,-0.083918363536229,0.142259265048081,-0.589897350502029,0.55525947052408,0.848180027303538,476.859181896834,462.758971054637,431.791631188829,455.535587018553
"1110051M20Rik",149.094676394664,0.0348818875310057,0.241783216084436,0.144269267718005,0.885287845207092,0.971282207938712,135.892512975782,159.862190000693,151.909635706091,148.714366896091
"1110059E24Rik",793.280831028504,-0.33213771745269,0.117557493179699,-2.8253215381599,0.00472331913281433,0.0509675655175246,829.356124646134,942.345541056715,718.11827788334,683.303380527829
"1110059G10Rik",216.56727389065,-0.242086257725385,0.210373133644124,-1.15074702521144,0.24983632425605,0.620748212020967,205.897746933003,265.876063369573,193.339536353207,201.155748906818
"1110065P20Rik",172.111618692506,-0.074039459783927,0.226066642984152,-0.327511652345443,0.743280931210278,0.925938788569454,181.190017301042,171.641509263902,155.59229354139,180.022654663689
"1190002N15Rik",1153.54046443151,-0.231029149123356,0.105745170041637,-2.18477259086528,0.0289055246717354,0.183813585067223,1164.55765665306,1331.06307674261,1105.71801504858,1012.8231092818
