"","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB"
"Xkr4",8.11635260268999,8.07069111608871,8.14392346011799,8.24824715225936
"Gm37180",4.3783957436811,4.39973495617693,4.37981552239839,4.4041663041231
"Gm37363",3.72621027164057,3.73857266828535,3.73005100432499,3.74116366945665
"Gm37329",3.72595253613234,3.72142213522424,3.7200431404768,3.74611943018551
"Gm38148",4.78766055850523,4.80558807028747,4.78942713768012,4.85559336068473
"Gm19938",5.58226858890739,5.61131587613386,5.55221388886255,5.58599623467295
"Sox17",4.56041901171676,4.56299535981449,4.54030361000758,4.54855584158143
"Gm6085",3.29882821408761,3.30558525780564,3.31912473655717,3.33229952243848
"Gm6123",5.10654743879934,5.11890377828708,5.08591961833468,5.12573041158965
"Mrpl15",11.7301303298344,11.7122432752856,11.7797159259548,11.7351063266893
"Gm37144",6.29756379708413,6.31893665453756,6.32324443931163,6.37687526314577
"Lypla1",11.8952283022309,11.8630680355873,12.0511207034504,11.916519978364
"Tcea1",10.6059043292836,10.6544755048351,10.5970078834385,10.5063643908993
"Gm37277",4.42686596086206,4.44419324922922,4.42494970635327,4.41678406829425
"Rgs20",6.48204018682848,6.49303785212979,6.51699554872833,6.57847576334782
"Gm16041",3.7750641999743,3.76149528212271,3.79227150339348,3.78765459360099
"Atp6v1h",11.1282273397201,11.0869320078158,11.1365619906979,11.1420576960441
"Oprk1",6.2448768201941,6.24985722421226,6.27651788674992,6.34954488335885
"Rb1cc1",11.3309442583387,11.3147805423164,11.3662020773571,11.3203975531648
"4732440D04Rik",6.22452770881013,6.20550002185931,6.19251136618848,6.2228194628289
"Gm19026",3.33309108175363,3.30827499105105,3.31551122908215,3.32170852541634
"Pcmtd1",10.9890777424462,10.9794266565773,11.136599918583,11.0692714470459
"Gm26983",3.96232541372562,3.98070284208967,3.99317482692391,3.98816817100565
"Gm38372",8.7552569818775,8.75146372287621,8.76770695328768,8.68715429744009
"Gm26901",6.37669979294573,6.2835742201811,6.31346782131947,6.31578448316561
"Sntg1",4.85008185794791,4.8527802498094,4.84651182227623,4.81844947765003
"Gm15452",3.54299245469854,3.5366901653093,3.56034216219333,3.5633284938424
"Gm36964",3.46585392276957,3.47265916227808,3.44050110078739,3.46496125229203
"Rrs1",11.365079157645,11.3255310961507,11.3184375423133,11.3617625938776
"Adhfe1",5.70583720324258,5.73416922081295,5.7627033976735,5.74270970059221
"Mybl1",9.31734495622438,9.28930259974341,9.39058366752235,9.33859319460425
"Vcpip1",11.1814606996691,11.1806849434763,11.2413466540819,11.2133375526107
"Sgk3",9.04407489336359,9.01342487135489,9.18657593811668,9.15493127915156
"Mcmdc2",8.41583578544764,8.53541270168023,8.42727802433219,8.52489810853984
"Snhg6",10.2206741581691,10.2449890484926,10.2571914318098,10.310941176908
"Snord87",6.0525481473214,6.00403034326727,6.03978534186767,6.04321081868455
"Tcf24",6.11927949004232,6.19140528289722,6.20572827351565,6.22969323819113
"Cops5",11.3855969566658,11.4006771958632,11.3691557050543,11.4212491918668
"Cspp1",11.5621913903464,11.5114488843539,11.5389026633367,11.5345302171336
"1700047N06Rik",3.58698312124212,3.56262675259076,3.54852833383825,3.55020527656761
"Arfgef1",11.9207511070264,11.8825903566552,11.9696083151635,11.9841412088664
"Gm37569",4.51542212101755,4.4755440458412,4.51195143837852,4.49846443318316
"Prex2",10.024692021578,9.94398746920927,10.1073859954317,10.0423334914658
"A830018L16Rik",8.90010379853988,8.82721516610044,9.04096115740581,9.0705711988583
"Gm38178",6.38886179788201,6.40263035457869,6.47869072517886,6.41755998848781
"Sulf1",11.9945284341587,12.036881091932,12.1401302275734,12.1384240104131
"Slco5a1",8.48101358087432,8.46998897439351,8.34978295320306,8.27176157298773
"Prdm14",7.97467850744265,7.90478793083151,7.7295019992068,7.60961544355976
"Ncoa2",11.4325813796758,11.3707625260052,11.3619633234471,11.2517997033532
"Gm38376",4.97426509432063,4.92761736390428,4.95038564922908,4.95441800805478
"Gm37409",3.80585853352049,3.79234226976297,3.78702362537927,3.78452362762864
"Gm37702",4.25523895515813,4.21889893095273,4.23542958814853,4.25323281155679
"Gm38120",5.53633775248476,5.56041455657362,5.50310322790329,5.518611403374
"Gm38380",4.8981430344077,4.88820255637159,4.86608199884817,4.89011849228519
"Tram1",11.9055107264841,11.893350757724,12.0218540392601,11.9547951017682
"Lactb2",10.4552609298651,10.4516206459738,10.286345797515,10.275315387353
"Gm38319",4.80501526171279,4.77319121115879,4.73949387104568,4.74760290760169
"Gm5523",4.67075650472473,4.66392190009064,4.6989927929935,4.67669259138086
"Eya1",7.05876479294156,7.02644263733586,7.14980474126404,7.11880415767825
"Gm9947",4.38490917214877,4.36907535096919,4.3400782915929,4.33994361630034
"Msc",7.02633906707119,6.85983470573007,6.76178005254575,6.70478304330398
"Rpl5-ps1",5.26344685008776,5.27135749701808,5.38437105260252,5.28835345194958
"Trpa1",7.38910919813272,7.46838251551579,7.54643356233558,7.5538349845902
"Gm10566",5.34063819400377,5.36800911121823,5.39523697890055,5.33042133589752
"Terf1",11.639475540375,11.5914949709229,11.5470755153473,11.5851665562668
"Gm37509",4.62392799741286,4.62450281639196,4.63031386287993,4.58034888013846
"Rpl7",14.5656591958853,14.5677454207066,14.7023306824603,14.6901959880187
"Rdh10",7.94152274463023,7.95719048163302,7.90405919236557,7.90023624338743
