"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-2","MD-R-EB-3","MD-R-EB-4","MD-R-EB-5","MD-R-EB-6","MD-R-EB-7","MD-R-EB-8","MD-R-EB-9","NA"
"4933401J01Rik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm26206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xkr4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm18956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm19938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm10568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm27396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sox17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm22307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm25493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm2053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrpl15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lypla1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tcea1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rgs20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm17100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm16041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm17101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atp6v1h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oprk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm36965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm22463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Npbwr1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm19214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rb1cc1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4732440D04Rik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkal1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm2147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm19026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm42492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm5694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pcmtd1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm26983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm9826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nras-ps2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm23274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm19002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm26901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm18984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm30414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rps2-ps2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sntg1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm16284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm23358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm15452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm36964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm24276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm38008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm37143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm6187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm18299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm7512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm24765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
