"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"3830417A13Rik",72.6425056786246,2.37307102814554,0.676730059146979,3.50667300213738,0.000453746372108426,0.0240362943062842,4.5389512245196,5.84978748683345,17.8740432821086,37.054517233545,24.523137003224,11.2905239976028,158.556983465077,197.821917488879,34.2876133454585,15.9928695843488,153.660149943096,210.259574088801
"A2m",179.682424392085,-2.18776611252815,0.320958199120075,-6.81635838724805,9.33771823952778e-12,8.54089961642141e-09,502.688848115545,815.070389832128,156.39787871845,132.541157796911,33.2248952946906,41.9362319910961,12.3322098250616,11.1553712869669,117.689916077655,187.471971238756,66.6156719406487,79.0645505871113
"A930004D18Rik",157.749605601076,-1.03344227542819,0.29197151891469,-3.53953111341022,0.000400838517388179,0.0221754212038944,108.93482938847,154.044403819948,56.9735129617211,72.6838607273384,212.00647473755,219.358751953426,134.773435945316,136.095529700996,244.646754681109,186.58347848407,170.536120168061,196.358114644914
"Abca7",627.173455560706,0.539003399085904,0.161710380752447,3.33314037464938,0.000858716050094388,0.0370347553844388,591.198396993677,586.928677845623,892.585036400298,818.049726617495,336.204297624845,370.974359921235,571.686012604639,620.238643555358,568.062350831515,582.851247074047,674.150600039365,913.152117220373
"Abr",1955.01400050275,-0.385565124844103,0.109668388547922,-3.51573621122028,0.000438536464004117,0.0235028136177207,2506.63581374095,2299.94144690669,1839.90933035205,1838.47412427974,1930.99927176999,2100.03746355412,1756.45902794091,1735.77577225205,1909.9127325673,1663.25843677228,1804.84060511198,2073.923980785
"Acp6",1214.18563183448,-0.446910803941486,0.127277889282213,-3.51129961741078,0.000445921502181383,0.0238056148246248,2759.68234450791,2806.92302909892,2010.82986923722,2073.62779133877,412.937984376869,512.912375891099,514.429324131139,433.572097353446,769.154569641366,670.812029787966,824.257914145627,781.08825250344
"Adamts7",203.220657356799,1.18683444311764,0.316520169385503,3.74963290782316,0.000177093618890565,0.0123965533223395,43.1200366329362,44.8483707323898,86.0188332951476,115.43907291989,183.527993056386,156.454403966782,229.907626024362,276.653207916778,410.524667892922,263.882348141756,323.308061151948,304.963266550286
"Adgrl2",3949.66381681393,0.669264973402686,0.123815170113875,5.40535519829398,6.46800862881098e-08,2.06374600900667e-05,987.221891333012,815.070389832128,1473.49144306883,1388.11922251819,4897.50778022451,4917.82966695585,5354.8216804678,5199.89040256482,6263.51293518794,5819.62754319361,5680.09629413931,4598.7765522811
"AI314180",3430.96518536888,-0.324908957515814,0.0940178520508453,-3.45582195751613,0.000548617567840717,0.0275715495632771,2936.70144226418,2601.20550247861,2142.65093844277,2278.85280986302,3477.53904084428,3485.54605125995,3152.64135456395,3079.62616662199,4393.44796948159,4794.30690428591,4218.99255624108,4610.07148807926
"AI661453",439.459216881669,1.16604001711214,0.175466438398827,6.64537348425452,3.02449157871154e-11,2.44094261528955e-08,191.770689235953,174.518660023865,368.65214269349,454.630422980803,409.773708634517,364.522631922605,613.967874861993,665.603820122357,419.791590418722,406.041188891524,638.622241671019,565.615631123181
"Aif1l",740.131504072178,0.659383095251438,0.166631490489875,3.95713375252743,7.58544621576246e-05,0.00642421741236179,189.501213623693,233.016534892199,318.381395962559,352.017913718678,726.992351805254,704.851283850346,1283.43069393676,1389.95926235607,888.697870224181,795.201015444012,1090.72060190822,908.807911144159
"Ak1",961.643345201855,0.585528249179058,0.155856151826187,3.75685041827575,0.000172065273803427,0.0121687399823867,1095.02198291535,1179.70714317808,1734.89932606967,1678.85466542754,507.866256647414,593.558975873976,894.966084447324,1022.5757013053,559.722120558295,741.891450162849,706.126122570876,824.530313265589
"Amotl2",1959.54310408365,0.860579461704897,0.111657103407659,7.70734181203796,1.28465390080821e-14,1.95838350212096e-11,686.516372708589,737.073223341015,1371.83282190183,1211.39767878897,2256.9196732322,2135.52196754659,2332.54940119736,2446.00107752227,2480.75516015655,2166.14533592458,2778.31762440465,2911.48691227923
"Ankrd1",19.4624688760063,2.17984590035258,0.673724622477231,3.23551467116857,0.00121423645261334,0.0476976541491823,11.347378061299,14.6244687170836,74.8475562438297,42.755212192552,1.58213787117574,0,7.04697704289231,11.1553712869669,11.1203070309595,17.7698550937209,21.3170150210076,19.9833479505886
"Ankrd44",108.619812176964,-0.912853013292356,0.276608784660293,-3.30015915587584,0.000966300114799469,0.0399741084024152,128.225372092679,148.194616333114,70.3790454233026,76.9593819465936,83.0622382367265,91.93712398048,83.6828523843462,78.8312904278992,147.344068160214,130.608434938849,123.461045330002,140.752276869363
"Ap1m2",822.64452283334,0.720664186656241,0.200369235045458,3.59668083023196,0.000322303551033381,0.0189785610308068,1001.9734828127,729.273506691904,1462.32016601751,1388.11922251819,826.667037689326,785.497883833224,1045.59521873915,902.841382825185,516.167584687037,342.069710554128,467.19791254375,404.011165087986
"Arap2",795.996987308558,0.907659983901573,0.225143788261564,4.03146802721062,5.54295380384877e-05,0.00503791952250081,349.499244288009,318.813418032423,573.086512732607,681.233047601328,1029.18068519982,883.886735812334,1039.42911382662,1154.20908249151,644.051115543072,931.140406910977,773.630003470734,1173.80448179327
"Arhgap45",497.570316840237,0.64489783817269,0.193030967075018,3.3409035241587,0.000835062345408295,0.0367036965647496,645.665811687912,667.850738080153,1054.56855364441,999.046791565965,189.065475605501,204.842363956508,285.402570237139,283.346430688958,211.285833588231,323.411362705721,492.9559723608,613.401897961545
