"","MD-R-EB-1","MD-R-EB-2","MD-R-EB-3","MD-R-EB-4"
"4933401J01Rik",0,0,0,0
"Gm26206",0,0,0,0
"Xkr4",0.1704,0.2702,0.0773,0.0488
"Gm18956",0,0,0,0
"Gm37180",0.0614,0,0,0
"Gm37363",0,0,0,0
"Gm37686",0.075,0,0,0
"Gm1992",0,0,0,0
"Gm37329",0,0,0.0573,0
"Gm7341",0,0.1482,0.1272,0
"Gm38148",0,0.0911,0,0.0494
"Gm19938",0.0531,0.1263,0,0
"Gm10568",0,0,0,0
"Gm38385",0,0,0,0
"Gm27396",0,0,0,0
"Gm37381",0,0.1006,0,0
"Rp1",0,0,0,0
"Gm6101",0,0,0,0
"Gm37483",0,0,0,0
"Sox17",0.1088,0.2587,0.395,0.187
"Gm37587",0,0,0,0
"Gm7357",0.0579,0.1376,0.0788,0.2487
"Gm22307",0,0,0,0
"Gm38076",0,0,0,0
"Gm37323",0,0,0,0.1073
"Gm7369",0,0,0.2517,0
"Gm6085",0.5886,0.84,0.561,0.3036
"Gm6119",0,0,0.293,0
"Gm25493",0,0,0,0
"Gm2053",0.5485,0,0.1867,0.2357
"Gm6123",4.3711,4.6202,2.755,5.4268
"Mrpl15",65.9052,67.393,67.9865,73.945
"Gm37144",10.0828,12.0493,8.7072,11.3825
"Lypla1",58.0831,62.1552,51.7379,55.4607
"Gm37988",0,0.3326,0.2856,1.0818
"Tcea1",80.5368,78.4879,75.8284,82.6327
"Gm6104",2.009,1.3651,1.5629,0.2467
"Gm37277",0.7789,1.7288,1.6965,1.6066
"Rgs20",0.8982,1.068,0.5836,1.1229
"Gm17100",0,0,0,0
"Gm37079",0.1621,0.0643,0,0
"Gm16041",0.2788,0.1473,0.1265,0.2396
"Gm17101",0,0,0.2967,0
"Atp6v1h",22.9424,23.7902,22.6759,26.0989
"Gm7182",0,0,0,0
"Gm37567",0,0,0.0517,0
"Gm38264",0,0,0,0
"Oprk1",0.0756,0.1499,0.0772,0.1951
"Gm36965",0,0,0,0
"Gm22463",0,0,0,0
"Gm37429",0,0,0,0
"Npbwr1",0.0469,0,0,0
"Gm19214",0,0,0,0
"Rb1cc1",18.0249,19.2577,18.5406,23.492
"4732440D04Rik",1.0521,1.0363,0.9766,1.2058
"Alkal1",0.1782,0,0.1213,0.1532
"Gm2147",0,0,0,0
"Gm7417",0,0,0,0
"Gm19026",0.4202,0.212,0.234,0.0985
"St18",0.1071,0.0637,0.0547,0
"Gm42492",0,0,0,0
"Gm7449",0.261,0,0.1777,0.2244
"Gm37108",0.8294,2.6299,1.3173,3.089
"Gm37275",0,0,0,0
"Gm37225",0,0,0,0
"Gm37489",0,0,0,0
"Gm5694",0,0,0,0.6962
"Pcmtd1",29.572,30.4739,29.6013,35.9688
"Gm26983",3.1223,1.4144,2.4289,2.6836
"Gm38372",7.6048,8.2426,8.1012,8.5305
"Gm9826",0.3997,0.3168,0.5441,0
"Nras-ps2",0,0,0,0
"Gm23274",0,0,0,0
"Gm19002",0,0,0,0
"Gm26901",1.5954,2.2449,1.3032,1.6455
"Gm18984",0,0,0,0
"Gm30414",0.0667,0.1585,0.1815,0
"Gm37791",0,0,0,0
"Gm7470",0,0,0.0562,0
"Rps2-ps2",0,0.1557,0,0
"Gm38216",0,0,0,0
"Sntg1",0.9519,0.6289,0.8208,1.0091
"Gm38024",0,0,0,0
"Gm16284",0,0.343,0,0.3719
"Gm38259",0,0.0776,0.0333,0
"Gm23358",0,0,0,0
"Gm37005",0,0,0,0
"Gm15452",6.4898,5.1448,5.8902,3.7187
"Gm36964",4.3703,6.2361,8.3295,6.7613
"Gm24276",0,1.2472,2.1419,1.3523
"Gm6152",0,0,0,0
"Gm7445",0,0,0,0
"Gm7493",0.2765,0,0.1882,0
"Gm37629",0,0,0,0
"Gm38008",0,0,0,0
"Gm37143",0,0,0,0
"Gm6187",0,0.1429,0,0
"Gm18299",0,0,0,0
"Gm7512",0,0,0.1007,0
"Gm24765",0,0,0,0
"Gm18300",0,0,0.1676,0
"Rrs1",135.374,129.7588,131.666,113.9584
"Adhfe1",1.2819,1.3429,1.4336,1.7315
"2610203C22Rik",0.141,0.1118,0.144,0.1515
"Gm6161",0.157,0,0.2138,0.135
"Vxn",0,0,0.0362,0.0457
"Gm29520",0,0,0,0
"Mybl1",15.4417,16.4827,15.9412,20.9273
"Vcpip1",27.6573,27.1744,27.7561,34.9557
"1700034P13Rik",0.279,0.1327,0.2659,0.5756
"Sgk3",1.6567,1.6393,1.9674,1.9437
"Gm6195",0,0.3843,0.66,0
"Gm22607",0,0,0,0
"Mcmdc2",7.5181,7.3746,7.3876,9.0265
"Snhg6",133.7987,133.6031,132.606,120.1931
"Snord87",73.6012,85.1553,81.2437,70.1
"Tcf24",0.8255,1.3415,1.6014,1.9157
"E330040D14Rik",0,0,0,0
"Ppp1r42",0.1136,0,0,0
"Gm15818",0,0,0,0
"Gm24674",0,0,0,0
"Cops5",95.5382,96.2475,90.9645,101.9438
"Cspp1",16.8695,18.3208,16.5165,18.8637
"1700047N06Rik",1.1287,1.3421,1.5366,1.2935
"Arfgef1",29.8631,29.7227,33.099,40.1771
"Gm26348",2.1633,2.8582,2.4542,1.2396
"Gm37569",1.5075,0.7967,1.2314,0.9502
"Cpa6",0,0.0602,0,0.0217
"Gm38005",0,0,0,0
"Gm15604",0.4754,0.3769,0.3236,0.4087
"Gm25253",0,0,0,0
"Gm15603",0,0,0.2394,0
"Gm37133",0.1801,0.0714,0.1226,0.0774
"Gm5522",0.2787,0.1105,0,0
"Gm28659",0,0.5423,0.3104,0
"Gm22963",0,0,0,0
"Prex2",4.2409,3.5519,3.2059,4.0929
"Gm24173",0,0,0,0
"Gm28686",0.2842,0.4506,0.5803,0.4885
"Gm37410",0,0,0.0775,0.0979
"A830018L16Rik",2.8834,2.8834,2.1937,2.4135
"Gm38178",1.4708,0.9994,0.5721,1.0836
"Gm29273",0.6605,1.0473,0,0
"Gm38069",0.2422,0,0.1099,0.0694
"Gm7560",0,0,0,0
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",0.4289,0.51,0.7299,0.9216
"Gm6216",0.2519,0.1997,0,0.2165
"Gm17644",0.0541,0.0429,0,0.0465
"Gm29663",0,0,0,0
"Sulf1",18.9704,21.5984,14.728,17.3984
"Slco5a1",1.3305,1.483,1.094,1.2115
"Gm37162",0.6282,0.249,0,0
"Gm5250",1.0783,0.8548,0.734,1.3902
"Gm29283",9.0137,7.6219,4.9085,5.6814
"Prdm14",22.7465,22.4199,35.2859,30.4575
"Ncoa2",10.9865,11.1829,11.8466,13.7318
"Gm38376",1.3827,0.7916,1.1503,1.6506
"Gm37409",0.745,0.5063,0.4347,0.183
"Gm27881",2.1105,0,1.4366,3.628
"Gm38223",0,0.5922,0.1695,0
"Gm37702",0.6471,1.1726,0.5664,0.8741
"Gm23169",1.5452,2.4499,1.0518,0
"Gm38120",1.0066,0.3547,0.736,0.8652
"Gm38380",1.0008,1.2206,0.7337,1.1249
"Gm29570",0.2541,0.2015,0.346,0.6553
"Gm7593",1.8811,2.1304,1.8292,3.4646
"Tram1",96.2735,105.6511,104.2795,128.8967
"Lactb2",69.7783,64.4208,59.7531,78.9026
"Gm38319",4.9212,4.2264,3.9082,4.4648
"Xkr9",0.0899,0,0.0612,0
"Gm26273",0,0,0,0
"Gm5523",1.9094,3.0274,3.0721,7.1614
"Gm36947",0,0,0,0
"Gm25491",0,0,0,0
"Gm37400",0,0,0,0
"Eya1",1.2634,1.2475,1.1768,1.124
"Gm22616",0,0,0,0
"Gm37444",0,0,0,0
"Gm9947",0.825,0.3463,0.3964,0.5006
"Msc",14.6145,11.2622,11.7063,8.4131
"Gm37412",0.1202,0.0635,0.0545,0.1033
"Smt3h2-ps4",0,0,0,0
"Rpl5-ps1",5.8075,6.1385,9.0922,13.3108
"Trpa1",2.314,1.7379,2.0725,2.4425
"Gm26345",0,0,0,0
"Gm10566",1.7376,4.5456,4.6128,5.5258
"Kcnb2",0,0.009,0,0
"Gm38116",0,0,0,0
"Gm37138",0,0,0,0
"Gm25227",0,0,0,0
"Gm25168",0,0,0,0
"Gm6060",0,0,0.4693,0
"Gm28669",0,0,0,0
"Terf1",114.6989,110.9347,102.6178,112.7882
"Gm37509",0.983,0.6927,0.7435,0.6102
