"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB"
"Gm6123",4.99278889017942,4.99857566828415,4.94747464102182,5.00910623899776
"Mrpl15",11.9771703259219,11.9866396522798,12.016383465099,11.9978276380117
"Gm37144",6.39711514665461,6.44122560839106,6.36450889154818,6.40446389810254
"Lypla1",11.508136282489,11.5568473677514,11.4220265032863,11.3922202723653
"Tcea1",10.7389729948492,10.7090839907655,10.7017180643486,10.6861590658782
"Gm37277",3.48568443256451,3.51352720934435,3.51413695430434,3.50600837445915
"Rgs20",4.75218399643483,4.76977480361202,4.71634278973262,4.76635282747311
"Atp6v1h",10.6532548938447,10.673250928305,10.6550176625795,10.6835455082452
"Rb1cc1",10.9295730845352,10.9740591979583,10.9636666507494,11.0731542688426
"4732440D04Rik",5.33826785394884,5.33460378665085,5.32975089797203,5.34491539796983
"Pcmtd1",10.4813096116781,10.4958487495785,10.4928838632616,10.5645762860168
"Gm38372",7.81817804269722,7.84958519170761,7.85364889170494,7.82833361705183
"Gm26901",5.67420454686125,5.7375203876639,5.64369734385492,5.66400463729273
"Sntg1",6.04232273412327,5.96012983102451,6.01437986979062,6.03633350753837
"Rrs1",10.9021190960484,10.8582008738145,10.891386364828,10.6897654283467
"Adhfe1",5.24280981279214,5.24651647579072,5.25868132551856,5.27053578284756
"Mybl1",9.28241562323947,9.3175668508079,9.31197009439046,9.42794668046881
"Vcpip1",10.933782204598,10.9099741471315,10.9480086675323,11.052405845141
"Sgk3",7.46985519187104,7.46028834914936,7.54772446885211,7.49666116681267
"Mcmdc2",8.32665302417387,8.31003000855733,8.32444569190573,8.37694516594296
"Snhg6",10.0635651249219,10.0542374588652,10.068153123491,9.91606782355962
"Snord87",5.55908450277256,5.58115045425372,5.57772292754295,5.53807875542126
"Tcf24",5.31848319681309,5.36906140166694,5.40049918247126,5.41246928965164
"Cops5",11.319166089799,11.315928897774,11.2897438286469,11.2970631018831
"Cspp1",11.0611419725062,11.1203514405289,11.0551100478753,11.0780343263928
"Arfgef1",11.2860783933776,11.2723926555989,11.3841621336921,11.4600317892644
"Gm37569",3.77236388512759,3.73891482127013,3.76146991244871,3.74281076610844
"Prex2",8.85635687712967,8.74121633397844,8.69510828024975,8.77864510534781
"A830018L16Rik",7.42665305022892,7.42383272770862,7.32565817793552,7.32303167548358
"Gm38178",4.16378978173356,4.13326018464822,4.10411953221331,4.13332535787606
"Sulf1",10.5340359182927,10.6313978337506,10.3464749131499,10.3941172696448
"Slco5a1",6.89349666366661,6.92762955879059,6.83696076624007,6.83677699203618
"Gm29283",3.78657084476316,3.77596440506984,3.75482813190749,3.7569339214295
"Prdm14",8.84369965194137,8.82611950305285,9.13638147366107,8.96525117985089
"Ncoa2",10.3017423804616,10.3062095401621,10.3711520362796,10.4046327797727
"Gm38376",4.28831186727575,4.25179061529896,4.27567392891017,4.2964734866599
"Gm37702",3.40242079509777,3.42887054915484,3.39768833405975,3.40993380966686
"Gm38120",4.60404150933657,4.5236160791396,4.574316980067,4.5795985287434
"Gm38380",3.99522821515033,4.00799375182814,3.97870179072579,3.99687848375448
"Gm7593",3.36762966531723,3.37132554928215,3.36650847277612,3.39042450279328
"Tram1",11.1463774871635,11.2135671698705,11.2238813316972,11.3142342009679
"Lactb2",11.1231243345894,11.0475124748944,11.0064505756482,11.1500610135031
"Gm38319",5.29243913611578,5.27004332890725,5.26284712523566,5.26672722364434
"Gm5523",4.64688037833062,4.6737106594087,4.67662366497672,4.76497349457489
"Eya1",6.05295396710107,6.04845857415765,6.04143585624016,6.01111701918131
"Gm9947",3.70023427355408,3.65398756763165,3.65978257574749,3.66564780094285
"Msc",7.79244310460836,7.66746640916217,7.69660376836723,7.52067573180582
"Rpl5-ps1",5.67482131535017,5.67765756165909,5.74664028601932,5.80578773175217
"Trpa1",6.01135611165905,5.95357231313715,5.99194272401077,6.00433842000465
"Gm10566",4.77694573815978,4.84683571787204,4.85202186628458,4.86087491159776
"Terf1",11.8476694858594,11.8091008219263,11.7638292136153,11.7546617638935
"Gm37509",4.08767799357705,4.06304959037485,4.06915071649447,4.05173176174688
"Rpl7",14.5414455332901,14.5373174648817,14.5783035224868,14.4263596304151
"Rdh10",7.01597980343659,7.03813064498002,6.96382047620796,7.02352116336182
"Stau2",8.02303495361443,7.98543632445094,7.96202456554438,8.0429792890418
"Ube2w",9.07689557636537,9.16043026258618,9.13414124971981,9.16328112318667
"Eloc",10.6017522615164,10.6369786009922,10.6015219783535,10.605211612825
"Tmem70",9.37842924429087,9.33897298618506,9.40512038225996,9.47539250376997
"Gm5828",5.16221536547433,5.15678003593401,5.12447752197446,5.14999669859744
"Jph1",7.35112335064812,7.36245770473737,7.28393799748701,7.22505443936944
"Gm5251",4.49738250615898,4.51781641781548,4.54252979315169,4.49227268512575
"Crispld1",5.17566561203908,5.18664745493372,5.18592087866331,5.17641759571085
"Gm4849",3.50980729330302,3.52329363312784,3.52569082560629,3.57971233501869
"Pkhd1",4.32812033823924,4.28788134377547,4.2617610902853,4.29168269173731
"Mcm3",13.1790155445485,13.1710793453927,13.21553511574,13.1338929294186
"Paqr8",7.2166841322738,7.23127684252839,7.23487024321106,7.20270284823039
"Efhc1",5.20480854082718,5.20667499199751,5.19310117735082,5.19300503449484
"Tram2",8.85412711926219,8.85548294903069,8.89843187775485,8.96646205980299
"Tmem14a",5.9730469591474,5.92341085545887,5.96513793475115,5.97433863696402
"Gsta3",7.40726165128324,7.42032682342442,7.55021726818663,7.3616943546754
"Gm28836",3.8980513089525,3.88103171072192,3.92576789113091,3.8695791069129
"Kcnq5",4.2263157844775,4.18576778341332,4.15601685215776,4.15551906887472
"Gm7658",4.79009435297638,4.79615899875454,4.8021595003675,4.76018817821196
"Rims1",8.17704424066426,8.12238266737912,8.12239868502488,7.96157116493604
"Ogfrl1",8.78906377130981,8.64056805593077,8.71100204905169,8.7854261545779
"B3gat2",5.37434094494905,5.38062140938565,5.37780195118588,5.37399600424251
"Smap1",9.34282492364111,9.33775315220438,9.29852487394902,9.46674997496723
"Sdhaf4",7.30562595711981,7.41459764529694,7.34372510643701,7.31266863082008
"Fam135a",10.0758090213048,10.0846495773006,9.9869450854021,10.1426662899737
"Gm28438",9.05212579115317,9.23363465376786,9.23885241538499,9.18470889764337
"Lmbrd1",8.04586551234908,8.04493899869236,7.95764594614747,8.03452808379776
"Adgrb3",3.72426376529452,3.69279201771397,3.71667741814188,3.73856491499392
"Gm5525",5.17978049775624,5.1285327308429,5.17044450253792,5.19142815889774
"Phf3",12.7542345697024,12.7348262861118,12.663411948219,12.7369396571199
"Gm37522",5.62152373306408,5.60789946524943,5.56209946026751,5.58496055289349
"Gm37906",6.79360226418023,6.85189390788039,6.69747957190902,6.77671160944816
"Ptp4a1",9.978745703523,9.96946372238276,9.91841262252036,10.0515073450729
"Prim2",10.1714862349611,10.1199023607435,10.1450131473842,10.2562328377222
"Gm37618",5.20220107311281,5.17456365403416,5.20918976651056,5.14639239430921
"Rab23",10.5027311678259,10.4987489273115,10.4607702289241,10.5221471053091
"Bag2",7.40655827345222,7.41382879729648,7.42780042731363,7.37974792856471
"Zfp451",11.5594715794988,11.5697692436577,11.5733568483277,11.6033758400904
"Gm15455",3.68373323357982,3.66401523838769,3.69673672938562,3.66019815490788
"Bend6",4.83595544090589,4.83617461666227,4.79262717372096,4.82564760356554
"Dst",13.5733725811344,13.6201827698353,13.4574362199609,13.3894021425211
"Gm37354",4.72220820153322,4.71003784185669,4.73046739263422,4.67720763160487
"Gm38157",4.83939688284224,4.86281296984373,4.80545071960868,4.85242230139708
"Gm26788",7.54085095745551,7.4584560809593,7.45529292050396,7.49697282044624
"A930005N03Rik",3.90760548205143,3.90796846487714,3.87194692703237,3.88918552841777
"Gm37233",4.75013210366205,4.75709508421586,4.76032831298039,4.72833137272868
"Ccdc115",9.09115743449841,9.03581745864247,9.03139956150471,8.91748580889363
"Imp4",11.3027182991004,11.2919506356966,11.2585894193875,11.2773925724753
"Ptpn18",4.63475617752374,4.62517152327961,4.58923172285619,4.58142716715466
"Gm28417",3.61962244314887,3.61458517279037,3.61475223875431,3.57208102296221
"Arhgef4",6.65720569625884,6.71762508832335,6.70657320810995,6.67439708172428
"Gm38336",4.46930797519577,4.4839559750419,4.482240232132,4.43989198286862
"Fam168b",10.934805335623,10.8787185246614,10.9051713178154,10.8402286639122
"Gm37127",6.02674119384323,6.08557169805627,6.06582917533532,6.06450673869436
"Plekhb2",7.93623801277733,7.9295643314377,8.07607933554828,8.08783378327538
"Gm33222",3.98386697020314,3.99880456636257,3.96534715585883,3.94611379112476
"Hs6st1",10.9280282475363,10.9086315378904,10.7902007378136,10.7897752311426
"Gm33280",3.72822307059036,3.72818517804249,3.70771247662616,3.74331336163696
"Uggt1",11.9540060776511,12.0046447913241,11.9898101965176,11.970494754501
"Arid5a",7.66947630838351,7.6497820823779,7.74099832434097,7.69872865682348
"Kansl3",10.3543243592018,10.3148081287993,10.4426042218464,10.3939514519038
"Fer1l5",6.76696960835486,6.77658369080751,6.81910568506808,6.77145661878395
"Lman2l",8.78130478888589,8.80970130213854,8.87605197894361,8.86131941166534
"Cnnm4",8.53100491276816,8.56977728564499,8.61994012057363,8.62548976935391
"Cnnm3",9.47400326299933,9.50872090099414,9.49287455074129,9.4726048757775
"Ankrd23",3.45126827776966,3.48592641835709,3.45452141102057,3.4671042205057
