,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
Rrs1,2433,3408,2762,1492,3252,1602,1937,2289,1569,2713,2093,2192
Adhfe1,29,55,57,38,68,28,37,46,44,28,49,42
2610203C22Rik,5,6,5,9,7,4,4,6,5,3,6,7
Gm6161,0,0,3,2,0,1,0,2,1,0,0,2
Vxn,1,0,1,0,0,0,0,1,1,2,2,0
Gm29520,0,0,0,0,1,0,0,0,0,0,0,0
Mybl1,514,805,654,417,796,482,649,731,760,622,933,598
Vcpip1,2004,2938,2490,1458,2921,1558,1931,2297,2291,1930,2542,2306
1700034P13Rik,1,9,7,1,5,5,3,7,12,5,5,7
Sgk3,694,642,517,374,732,137,171,239,187,694,845,507
Gm6195,1,3,9,2,4,0,1,2,0,4,4,3
Gm22607,0,0,0,0,1,0,0,0,0,0,0,0
Mcmdc2,179,406,431,190,477,257,318,371,359,169,316,375
Snhg6,1184,1492,1306,723,1604,886,1116,1290,926,1179,1337,1244
Snord87,13,92,59,40,84,37,54,60,41,10,49,58
Tcf24,25,63,81,48,109,20,41,57,54,40,55,49
E330040D14Rik,0,0,1,1,5,0,0,0,0,2,1,0
Ppp1r42,0,0,0,1,1,1,0,0,0,0,2,0
Gm15818,0,0,0,0,0,0,0,0,0,0,0,0
Gm24674,1,0,0,0,0,0,0,0,0,0,0,0
Cops5,2834,3408,2942,1545,3401,2079,2642,2908,2581,2600,2972,2706
Cspp1,2562,3911,3131,1761,3630,1711,2344,2461,2226,2462,2937,2672
1700047N06Rik,8,25,13,4,10,6,9,12,8,12,15,31
Arfgef1,5483,4919,3997,2403,5057,1953,2452,3180,3057,4753,5976,4863
Gm26348,6,5,2,4,6,3,5,5,2,9,10,9
Gm37569,24,35,16,16,27,15,10,18,11,13,38,16
