"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"2810408I11Rik",154.930575173656,0.456430500167419,0.120309994839989,3.7937870479877,0.000148366931216357,0.0420790008336152,124.080395812107,112.779131618848,161.965270896653,204.416027143506,129.787932444406,129.284693792116,160.931030706218,153.744536899815,149.165347282476,141.050944970603,190.924576132886,201.037014384233
"3830417A13Rik",73.6234090808596,-2.99119351827629,0.610093898482124,-4.90284122774902,9.44603314180428e-07,0.000771429414881576,211.71759844863,158.068389198071,16.2822230001926,33.4663407270342,200.581350141355,158.111686326844,12.8744824564974,23.9501539894184,37.6533886344115,19.182928516002,6.99723577450366,4.59513175735389
"AI413582",189.331079235811,-0.350797284723798,0.0942517317912266,-3.72191871764049,0.000197714673263569,0.0490499472516128,202.17295261693,227.334312554529,154.252638949193,162.809225158545,227.866313212054,217.512761852952,154.493789477969,183.102790177166,212.886466509942,186.187247361196,177.929709694522,165.42474326474
"Alkbh4",257.486661536302,-0.337577038600414,0.0905340773364037,-3.72872898837921,0.000192447984834968,0.0485293438928916,321.914873050991,290.384063302074,226.23720379215,216.174471182735,290.547985131228,272.546111237433,194.726547154523,244.137053569555,283.848622013256,268.560999224028,257.898118545992,222.863890231664
"Aox3",14.1176086807355,-2.27112958659997,0.505149278141557,-4.49595730385967,6.92576339902298e-06,0.00393517408098035,10.4123409073097,27.5287644109,1.71391821054659,2.71348708597575,40.558728888877,32.321173448029,4.82793092118653,9.27102735074259,15.9302798068664,13.5408907171779,5.99763066386028,4.59513175735389
"Ap2s1",988.948306836561,-0.288963964815747,0.0709775322721318,-4.07120331695731,4.67709040067353e-05,0.0179496705823363,1239.06856796985,1067.40563941619,872.384369168214,898.164225457972,1015.44308509061,983.611927094071,901.213771954818,890.79121128385,1087.60364863242,1134.04959756365,943.627224447351,834.01641395973
"Ap5z1",541.595804242609,-0.405869319977571,0.103713168778884,-3.91338269533432,9.10121226945844e-05,0.0291470459844074,753.159325628735,600.304669089303,433.621307268287,453.15234335795,661.475996605867,567.80439841132,518.197918874021,502.953233777785,572.041865792021,545.02085136641,469.814402002389,421.603338737219
"Apobr",52.5553199899568,-0.741674263561727,0.18317935668872,-4.04889654035671,5.14596854649827e-05,0.0188835604120876,75.4894715779953,70.1539480148742,36.8492415267517,31.6573493363837,67.1062605252329,55.9068946128069,37.01413706243,30.9034245024753,57.9282902067869,66.5760460261246,53.9786759747425,47.1001005128773
"Bhlhb9",1273.79852384965,0.302140357469981,0.0797891648011669,3.78673417904435,0.000152640239693099,0.0420790008336152,969.215399455411,1173.08057376771,1427.69386938531,1550.30562178748,1174.72827490875,1251.79031218988,1282.62031472855,1337.34569534462,1197.66740002532,1082.14284981447,1429.43530822003,1409.5566665683
"Bmt2",1158.57122031332,0.464681129963912,0.100407286753549,4.62796222254745,3.69281356189734e-06,0.00232304350283071,853.811954399395,789.453921331939,1341.99795885798,1451.71559099702,1009.54363361587,1064.85163332831,1445.16065574183,1220.68526784777,1084.70723412209,1040.39177010317,1264.50046496388,1336.03455845064
"Card10",567.086952124592,-0.411152699111815,0.108932256286925,-3.77438890119791,0.000160400370462854,0.0434660326974262,676.80215897513,697.987381515077,529.600727058896,570.736783750232,637.140759272541,650.791195102205,477.965161197466,530.766315830013,601.006010895415,621.752565430418,380.849547155128,429.644819312588
"Cc2d1a",1331.50320634733,-0.436136337086543,0.116083557560789,-3.75708968824593,0.000171900899779664,0.0458767037684698,1677.25458115247,1593.11623719854,1077.19759532853,1006.703708897,1284.60555862589,1274.50248812633,1078.23790573166,1043.7631625711,1697.29890305886,1662.14433553358,1280.49414673417,1302.71985320983
"Ccdc88a",2667.38416056351,0.447294419986357,0.0805631989552128,5.552093583511,2.82268403365057e-08,6.21484457109013e-05,2165.76690872042,2179.21251175318,3551.23853225253,3319.49920184366,2294.14919224175,2387.39910901252,3149.42027092068,2814.52938656294,2314.23519376114,2202.65155666094,2668.94564541783,2961.56241761458
"Cdc42bpg",1599.91946726457,-0.390304330330981,0.0768210276430154,-5.08069655283331,3.76053411275329e-07,0.000389635575659038,1682.46075160613,1635.74142080251,1252.01725280428,1298.85581848706,1960.83018391862,1769.80263258667,1379.17893315228,1503.45160204542,1915.97819858948,1927.32011207832,1491.41082507992,1381.98587602418
"Chmp1a",1467.29399521556,-0.250152759283672,0.0606718904945664,-4.12304210804301,3.73901314663823e-05,0.0153160412941595,1770.96564931826,1515.85809191633,1295.72216717322,1306.09178404966,1655.53357010053,1559.27823256032,1319.63445179098,1330.39242483156,1522.06582518333,1538.01950395945,1469.41951264577,1324.54672905726
"Cmip",2110.28780328091,-0.274202395405522,0.0651144729959625,-4.21108215714998,2.54150288903564e-05,0.0114784697147369,2380.08759239587,2387.01028182255,1763.62183865244,1813.51386912712,2187.95906569633,2126.20908574331,1960.13995400173,1806.30516216968,2370.71527671276,2406.89332497837,2053.1888972615,2067.80929080925
"Cnot6",4410.7146593293,0.32691973881225,0.0699589890241446,4.67301977018882,2.96803184153908e-06,0.0020107274175719,3812.65216222657,3426.88715682784,4961.79321953237,4921.36107826468,3960.74423385743,4161.56946774081,5516.71573260914,4851.06506127606,4031.80899839237,4082.57855122913,4513.21707455486,4688.1831754403
