,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
Gm37225,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,2.7108,0.6499,0,0,0,0,0,0,1.6261
Gm5694,0,0.4747,0,0,0.3224,0,0,0,0.6962,0.1844,0,0.2017
Pcmtd1,19.2654,38.566,37.1312,45.1805,41.3878,29.572,30.4739,29.6013,35.9688,23.6214,33.4169,30.9493
Gm26983,3.2478,3.3984,5.1039,6.6651,5.8593,3.1223,1.4144,2.4289,2.6836,1.2183,3.2729,4.6646
Gm38372,5.3469,14.1267,13.679,14.2315,12.2373,7.6048,8.2426,8.1012,8.5305,5.6331,11.8854,12.5168
Gm9826,0.441,0.3123,0.5381,0.8295,0.2387,0.3997,0.3168,0.5441,0,0.091,0.0978,0.3981
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,0.213,0.1021,0,0,0,0,0,0,0
Gm26901,1.1353,3.0156,1.9061,2.235,2.2625,1.5954,2.2449,1.3032,1.6455,1.3346,1.4048,1.7578
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0.2206,0.547,0.2244,0.4151,0.1592,0.0667,0.1585,0.1815,0,0.1821,0.587,0.4482
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,0.0968,0,0,0,0,0,0.0562,0,0,0,0
Rps2-ps2,0,0,0,0,0.1173,0,0.1557,0,0,0,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,0.1155,0.3719,0.3738,0.3556,0.2463,0.9519,0.6289,0.8208,1.0091,0.1733,0.1397,0.3555
Gm38024,0,0,0,0,0,0,0,0,0,0,0,0.0511
Gm16284,1.432,0,0,1.0775,0,0,0.343,0,0.3719,0.2954,0,0
Gm38259,0,0.0287,0.033,0,0,0,0.0776,0.0333,0,0,0,0
Gm23358,0,0.9221,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,5.728,5.0715,3.8829,8.0815,8.1809,6.4898,5.1448,5.8902,3.7187,4.4317,3.7038,8.0797
Gm36964,9.2573,8.1964,9.4132,2.1768,7.8286,4.3703,6.2361,8.3295,6.7613,7.7592,10.903,11.7523
Gm24276,0,0.9221,0,0,1.8789,0,1.2472,2.1419,1.3523,1.0743,1.1544,2.3505
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,0,0,0,0.3443,0,0.2765,0,0.1882,0,0,0,0
Gm37629,0,0,0,0,0,0,0,0,0,0,0,0
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,0,0,0,0,0.0317,0,0,0,0,0,0.039,0.0397
Gm6187,0,0.1057,0.2427,0,0.2153,0,0.1429,0,0,0.2462,0.3968,0.2693
Gm18299,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0,0,0.1007,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,0.0815,0,0.0829,0,0,0,0,0.1676,0,0.0841,0.0903,0.1839
