Cxxc5	
Eif2s3y	
Rtn4	
Uty	
Taok1	
Gprasp1	
Ddx3y	
Ccdc88a	
Xlr3a	
Sfrp1	
Tiparp	
Cnot6	
Mapk8	
Bmt2	
Nr2c2	
Dip2c	
Lnpep	
Nxf3	
Nsg2	
Tnpo1	
Samd8	
H3f3b	
Cr1l	
Bhlhb9	
Nlk	
Plce1	
Blmh	
Ptpmt1	
Zfp2	
Zfp606	
Map3k2	
Echdc1	
