"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"0610037L13Rik",427.062165725788,452.588072535261,444.583259826928,439.652557699113,350.562863811218,354.072293497552,361.427559389416,374.438702630302,367.865143462927,399.422632910118,411.293877228961,408.103395848607
"0610040B10Rik",9.08642905799548,14.6626805356996,12.3184278541466,5.70977347661185,8.70472122330337,6.46707385383657,8.81530632657112,5.95528751698293,10.2184762073035,16.0124886244591,11.5482082159319,18.2344070485548
"0610040F04Rik",101.0865232702,79.1784748927778,75.0304242025294,55.6702913969655,15.035427567524,3.23353692691829,9.69683695922823,13.3993969132116,10.2184762073035,12.4541578190237,7.10658967134273,8.68305097550228
"0610040J01Rik",13.6296435869932,8.79760832141976,12.3184278541466,2.85488673830593,26.9055019629377,33.952137732642,29.9720415103418,30.5208485245375,12.0763809722678,10.674992416306,18.6547978872747,5.20983058530137
"0610043K17Rik",13.6296435869932,14.6626805356996,17.9177132423951,14.2744336915296,15.035427567524,8.08384231729571,8.81530632657112,12.6549859735887,6.50266667737497,3.55833080543535,9.77156079809626,5.20983058530137
"1010001N08Rik",1.13580363224943,0.977512035713306,0,0,0.791338293027579,0,0,0.744410939622866,10.2184762073035,33.8041426516358,67.512601877756,93.7769505354246
"1110002J07Rik",230.568137346635,242.4229848569,119.824707308517,147.026667022755,36.4015614792686,71.1378123922023,100.494492122911,171.214516113259,43.6607619766605,50.7062139774537,62.1826596242489,59.0447466334155
"1110002L01Rik",1502.668205466,1436.94269249856,1512.92691190473,1413.16893546143,723.283199827207,761.497946289256,699.935322329747,676.669544117185,940.099811071924,975.872223390645,853.679084270046,698.117298430383
"1110004E09Rik",715.556288317144,771.256996177799,767.102098190039,739.415665221235,546.02342218903,567.485730674159,576.521033757751,553.097328139789,567.589905696587,579.118338584603,570.303821125254,481.909329140377
"1110004F10Rik",2459.01486382003,2378.28678289047,2440.16857219868,2452.34770820479,2459.47941472972,2467.18867523865,2265.53372592878,2233.97722980822,2372.54438485938,2382.30247423897,2187.05297135573,2136.03053997356
"1110006O24Rik",11.3580363224943,13.6851684999863,13.4382849317963,21.4116505372944,13.4527509814688,16.1676846345914,6.17071442859978,17.1214516113259,26.939619091982,20.4604021312533,21.3197690140282,27.7857631216073
"1110008F13Rik",1629.87821227794,1434.01015639142,1467.0127717211,1585.88958312894,1448.9404145335,1476.1096071382,1527.69258639477,1364.50525232871,1471.46057385171,1321.91989421923,1431.97781877556,1629.80866810178
"1110008L16Rik",1476.54472192427,1554.24413678416,1385.26320505267,1373.20052112515,1035.8618255731,1143.05530366561,1029.62777894351,994.533015336149,924.307620569728,825.532746861001,847.460818307621,798.84068974621
"1110008P14Rik",219.210101024141,226.782792285487,213.892701831091,205.551845158027,166.972379828819,164.910383272833,230.079495123506,206.201830275534,174.643047906642,120.983247384802,185.659655163829,150.216781876189
"1110012L19Rik",282.815104430109,250.243081142606,254.20755662648,262.649579924145,239.775502787357,281.317712641891,253.880822205248,225.556514705728,283.330476657052,386.078892389735,519.669369716937,552.242042041945
"1110019D14Rik",130.617417708685,137.829197035576,143.341705939161,131.324789962073,107.622007851751,100.239644734467,98.7314308575965,95.2846002717268,119.834857340196,88.9582701358837,75.5075152580166,73.8059332917694
"1110032A03Rik",67.0124143027167,34.2129212499657,54.8729968048349,61.3800648735774,64.0984017352339,58.2036646845291,74.0485731431974,72.207861143418,119.834857340196,128.989491697031,184.771331454911,191.8954265586
"1110032F04Rik",13.6296435869932,10.7526323928464,14.558142009446,12.8469903223767,34.0275466001859,51.7365908306926,34.3796946736274,40.1981907396348,26.939619091982,35.5833080543535,32.8679772299601,43.4152548775114
"1110034G24Rik",104.493934166948,119.256468357023,86.2289949790263,104.203365948166,63.3070634422063,98.6228762710077,75.8116344085116,89.3293127547439,88.2504763358032,88.9582701358837,97.7156079809626,107.669832096228
"1110037F02Rik",3505.09000912176,3222.85718174677,3171.43524390393,3318.80583328064,3206.50276334775,3197.96802072218,2991.03343660558,3021.56400392921,2807.29409986102,2815.52924980072,2821.31609952307,2900.13902581776
"1110038B12Rik",1260.74203179687,1667.6355329269,1613.71404889321,1664.39896843235,2245.02673731924,1977.30783081053,2076.88617054016,2113.38265758932,1771.51219339344,1815.63829347339,1781.97736008919,1681.90697395479
"1110038F14Rik",366.864573216567,404.689982785309,412.107404575087,486.75818888116,458.184871662968,444.611327451264,413.437866716185,433.247166860508,470.049905535962,409.208042625065,512.562780045595,537.480855383591
"1110051M20Rik",187.407599321157,188.659822892668,198.214702743995,179.857864513273,130.570818349551,153.593004028619,145.452554388423,141.438078528345,286.117333804499,308.685197371517,272.715378637777,384.659158214751
"1110059E24Rik",782.568702619861,821.110109999177,791.738953898332,709.439354469023,796.877661078772,905.39033953712,687.593893472547,649.870750290762,767.314667930247,813.078589041977,530.329254223952,578.291194968452
"1110059G10Rik",320.296624294341,253.175617249746,240.769271694684,279.778900353981,197.834573256895,255.449417226545,185.121432857993,191.313611483076,230.38019085557,249.083156380474,142.131793426855,125.904239144783
"1110065P20Rik",96.543308741202,117.301444285597,119.824707308517,149.881553761061,174.094424466067,164.910383272833,148.978676919052,171.214516113259,169.069333611749,203.714438611174,185.659655163829,222.286104972858
"1190002N15Rik",1613.97696142645,1196.47473171309,1173.61021737688,1129.10770499999,1118.952346341,1278.86385459618,1058.71828982119,963.267755871988,1120.31657327346,1189.37207171677,613.831682862229,647.75560277247
"1190007I07Rik",161.28411577942,217.985183964067,176.937418268651,189.849968097344,151.936952261295,164.910383272833,174.543065266108,193.546844301945,212.73009558841,194.818611597585,203.426129342186,180.607460290447
"1300002E11Rik",164.691526676168,165.199534035549,151.180705482708,169.865760929203,173.30308617304,132.57501400365,141.044901225138,169.725694234013,168.140381229267,153.897807335079,113.705434741484,85.9622046574726
"1500004A13Rik",18.172858115991,29.3253610713992,42.5545689506883,31.4037541213652,87.8385505260613,67.904275465284,68.7593893472547,65.5081626868122,85.4636191883568,33.8041426516358,37.3095957745494,21.7076274387557
"1500009L16Rik",305.531177075098,398.824910571029,400.90883379859,395.401813255371,292.795168420204,276.467407251513,330.573987246417,349.873141622747,285.188381422017,205.493604013891,212.309366431364,126.772544242333
"1500011B03Rik",238.518762772381,230.69284042834,222.851558452289,262.649579924145,265.098328164239,237.664964128494,266.222251062448,248.633253834037,293.548952864356,304.237283864722,279.82196830912,278.725936313623
"1500011K16Rik",205.580457437148,203.322503428368,212.772844753441,218.398835480403,67.2637549073442,64.6707385383657,77.5746956738258,79.6519705396466,75.2451429810532,67.6082853032716,82.6141049293593,69.4644078040183
"1500015A07Rik",210.123671966145,158.356949785556,192.615417355747,164.155987452591,165.389703242764,122.874403222895,170.135412102823,145.160133226459,196.937905086213,244.63524287368,189.2129499995,202.315087729203
"1600002H07Rik",506.568419983248,520.036402999479,507.29525617531,498.177735834384,493.795094849209,502.814992135793,548.312053512723,572.452012569984,520.213334189998,567.553763466938,709.770643425356,648.62390787002
"1600002K03Rik",37.4815198642314,56.6956980713718,49.2737114165864,47.1056311820478,84.673197353951,71.1378123922023,77.5746956738258,74.4410939622866,53.8792381839641,35.5833080543535,44.4161854458921,49.493390560363
"1600012H06Rik",490.667169131756,465.295728999534,586.805108688439,592.388998198479,435.236061165169,426.826874353214,465.448174042955,397.51544175861,507.208000835248,539.976699724814,498.349600702909,520.114753432587
"1600014C10Rik",126.074203179687,130.00910074987,126.543849774415,145.599223653602,177.259777638178,164.910383272833,189.529086021279,172.703337992505,186.71942887891,162.793634348667,159.009943896294,171.056104217395
"1600020E01Rik",157.876704882671,149.559341464136,169.098418725103,167.010874190897,129.779480056523,111.557023978681,148.978676919052,146.648955105705,142.129714519767,157.456138140514,132.360232628758,152.82169716884
"1600023N17Rik",11.3580363224943,7.82009628570645,12.3184278541466,7.13721684576481,18.2007807396343,12.9341477076731,10.5783675918853,11.166164094343,14.8632381197142,26.6874810407651,8.88323708917842,19.9710172436552
"1700001L05Rik",2111.4589523517,1791.77956146249,1791.77132423951,1660.1166383249,216.826692289557,232.814658738117,311.18031332796,270.965582022723,278.685714744642,225.064423443786,232.740811736475,153.69000226639
"1700001O22Rik",23.8518762772381,27.3703369999726,22.3971415529938,32.8311974905181,21.3661339117446,30.7186008057237,32.6166334083131,24.5655610075546,28.7975238569463,32.0249772489181,35.5329483567137,32.9955937069087
"1700001P01Rik",5.67901816124717,15.6401925714129,23.5169986306435,15.7018770606826,7.12204463724821,24.2515269518871,16.7490820204851,11.166164094343,6.50266667737497,9.78540971494721,7.10658967134273,4.34152548775114
"1700003F12Rik",2.27160726449887,3.91004814285323,7.83899954354784,8.56466021491778,11.8700743954137,8.08384231729571,7.05224506125689,15.6326297320802,25.0817143270177,50.7062139774537,23.9847401407817,19.9710172436552
"1700003M07Rik",15.9012508514921,31.2803851428258,31.3559981741914,25.6939806447533,25.3228253768825,42.0359800499377,39.66887846957,29.0320266452918,30.6554286219106,32.914559950277,26.6497112675353,23.4442376338562
"1700007G11Rik",0,0,2.23971415529938,1.42744336915296,26.1141636699101,54.9701277576108,24.6828577143991,21.5879172490631,35.3001905343213,29.3562291448416,20.4314453051104,9.55135607305251
"1700007K13Rik",78.370450625211,82.1110109999177,144.46156301681,118.477799639696,90.212565405144,93.7725708806303,104.902145286196,154.837475441556,63.1687620087854,40.0312215611477,50.634451408317,36.4688140971096
"1700007L15Rik",34.074108967483,55.7181860356585,52.6332826495355,37.113527597977,37.1928997722962,25.8682954153463,33.4981640409702,22.332328188686,27.8685714744642,48.0374658733772,39.9745669013029,33.8638988044589
"1700008J07Rik",93.1358978444537,136.851684999863,109.74599360967,122.760129747155,158.267658605516,179.461299443965,141.926431857795,165.259228596276,157.921905021964,150.339476529644,168.78150469439,181.475765387998
"1700008O03Rik",36.3457162319819,58.6507221427984,47.0339972612871,39.968414336283,30.070855135048,25.8682954153463,23.801327081742,34.9873141622747,28.7975238569463,15.1229059231002,40.8628906102207,26.9174580240571
"1700010I14Rik",24.9876799094876,25.415312928546,14.558142009446,14.2744336915296,26.9055019629377,14.5509161711323,22.9197964490849,20.0990953698174,40.8739048292141,56.9332928869656,44.4161854458921,35.6005089995594
"1700012D14Rik",35.2099125997325,35.190433285679,21.2772844753441,24.2665372756004,10.2873978093585,12.9341477076731,10.5783675918853,12.6549859735887,20.4369524146071,19.5708194298944,18.6547978872747,6.94644078040183
"1700013H16Rik",4.54321452899774,6.84258424999315,3.35957123294908,8.56466021491778,69.637769786427,74.3713493191206,71.403981245226,61.041697049075,123.550666870124,105.860341461702,54.1877462439884,19.102712146105
"1700017B05Rik",1115.35916686895,1007.81490882042,1160.17193244508,1220.46408062578,2286.9676668497,2113.1163817411,2550.26812027702,2574.17302921587,2062.27428911035,1751.58833897555,2640.98638661274,2906.21716150061
