"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dip2c",1021.33290489454,0.433294042550743,0.108032824984963,4.01076286407445,6.05228752340038e-05,0.0210819084759032
"Gm9",31.0378715190529,-2.47735348792677,0.623706066355049,-3.97198876452248,7.12750823507455e-05,0.0241430634716545
"Sptan1",15689.3451861649,-0.341989064420659,0.0862102676247201,-3.96691802314504,7.28080211057456e-05,0.0241969902595585
"Tnfrsf22",387.752732903838,0.315128340087314,0.0799441729738459,3.94185502663727,8.08538443561525e-05,0.0263733261942458
"Ap5z1",541.595804242609,-0.405869319977571,0.103713168778884,-3.91338269533432,9.10121226945844e-05,0.0291470459844074
"Ptpmt1",377.722907624351,0.286150816586549,0.0733161073279263,3.90297339855567,9.50181492745628e-05,0.0298866014521812
"Plce1",814.35064253264,1.12097890063016,0.290139297387494,3.86358866490615,0.000111733310683767,0.0345275532348047
"Zfp2",585.34100270676,0.375116780441334,0.0977207059474911,3.8386622037186,0.000123706481028222,0.0370846881905382
"Map3k2",936.493083168228,0.348217032921736,0.0907371332787272,3.8376464005324,0.000124219178110693,0.0370846881905382
"Fam43a",495.268762497703,-0.389190842854395,0.102066398026304,-3.81311430970743,0.000137226604120852,0.0402851567497448
"2810408I11Rik",154.930575173656,0.456430500167419,0.120309994839989,3.7937870479877,0.000148366931216357,0.0420790008336152
"Bhlhb9",1273.79852384965,0.302140357469981,0.0797891648011669,3.78673417904435,0.000152640239693099,0.0420790008336152
"Lrpap1",1093.73975721458,-0.404879426636199,0.106608157248702,-3.79782783123877,0.00014596965175605,0.0420790008336152
"Dot1l",4729.26838297052,-0.24235108779902,0.0640069771069712,-3.78632297216587,0.000152892929110445,0.0420790008336152
"Card10",567.086952124592,-0.411152699111815,0.108932256286925,-3.77438890119791,0.000160400370462854,0.0434660326974262
"Cc2d1a",1331.50320634733,-0.436136337086543,0.116083557560789,-3.75708968824593,0.000171900899779664,0.0458767037684698
"Satb2",183.28214708189,-0.665803905287874,0.177704072572187,-3.74670031840384,0.000179175929018731,0.0471045494587452
"Pttg1ip",1285.29217512631,-0.329640803740442,0.0881081444152388,-3.74132046393919,0.000183055924709088,0.0474168684974394
"Alkbh4",257.486661536302,-0.337577038600414,0.0905340773364037,-3.72872898837921,0.000192447984834968,0.0485293438928916
"Dnm2",2347.3301925751,-0.298907367976842,0.0801749588625246,-3.72818860424208,0.000192861023759646,0.0485293438928916
"AI413582",189.331079235811,-0.350797284723798,0.0942517317912266,-3.72191871764049,0.000197714673263569,0.0490499472516128
"Gm43775",26.0207096848118,-1.2510973994553,0.337150107924842,-3.71080231044802,0.00020660340428468,0.0505432272648661
"Cit",3503.37596485212,-0.222562652195006,0.0605024291944554,-3.67857382188221,0.000234541806973942,0.0565920464114935
"Cad",12167.140450039,-0.160466426911175,0.0438225621904943,-3.66173082745906,0.000250517000024851,0.0578324709618187
"Kctd15",577.495033458352,-0.743774873419329,0.203251032411176,-3.65939038338893,0.000252815956855912,0.0578324709618187
"Sphk2",812.193375967318,-0.371784891499999,0.101486699845104,-3.66338537037308,0.000248903631549305,0.0578324709618187
"Ulk3",266.668649964653,-0.311978089242808,0.0851074490265516,-3.66569663185977,0.000246666197284373,0.0578324709618187
"Ndufa13",1599.32254991406,-0.347073076577232,0.0957146402539761,-3.62612318926638,0.000287708141420445,0.0649704000382015
"Rnf13",705.137811342874,0.297614475836348,0.0824103785167986,3.61137130046894,0.000304582224744506,0.0670613913331217
"Arntl2",132.929995155048,-0.618782825457709,0.171243586319043,-3.61346569970136,0.000302131339782171,0.0670613913331217
"Stx11",32.9794560400081,-0.971648312236309,0.269507629083484,-3.60527201230109,0.000311826141442264,0.0678087117946177
"Notch1",1568.88551745826,-0.455421839821828,0.127278777518992,-3.57814435917153,0.000346042318925511,0.0703414290200212
"Manea",933.378744659776,0.538973535747293,0.150896271153969,3.57181480778504,0.000354516071409238,0.0703414290200212
"Hmgcl",357.56923357558,-0.298654333117972,0.0833997277279467,-3.58099889836804,0.000342283097597972,0.0703414290200212
"Htra2",409.703486995254,-0.401017066598784,0.111733423952742,-3.58905198115468,0.000331882666839324,0.0703414290200212
"Gtpbp3",1010.26638853494,-0.225557085752869,0.0629272522876076,-3.58441021263674,0.000337840757297391,0.0703414290200212
"Cdh3",1829.21327577853,-0.740087544152038,0.207015796537072,-3.57502932883436,0.000350188637536381,0.0703414290200212
"Tmem170b",662.526318394995,0.285325576039397,0.0796194611869868,3.58361601278999,0.000338870150071139,0.0703414290200212
"Wnt7b",229.573584365989,-2.15869948669696,0.604483483881829,-3.57114717648591,0.00035542109587725,0.0703414290200212
"Zfp606",1072.42613863985,0.445941300133426,0.125380483058176,3.55670427530983,0.000375536489300398,0.0728498108977823
"AI987944",370.805055394439,0.371603855327229,0.104496893537523,3.55612346690281,0.000376367252849903,0.0728498108977823
"Cln8",1203.85831763923,-0.164489947209302,0.0463937627023499,-3.54551857034374,0.000391841376745992,0.0746584705116208
"Asb8",290.463920102609,-0.287259054657576,0.0810563130336333,-3.54394425192251,0.000394188586214416,0.0746584705116208
"Scn1b",98.8769708443638,-0.99046756281897,0.279986491376144,-3.53755482255871,0.000403850336986155,0.0748781035334119
"Urgcp",454.184755728491,-0.76134965080435,0.215194840486118,-3.53795494856887,0.000403238853034293,0.0748781035334119
"Mt1",1723.51986136952,-0.796681591842706,0.22686116192095,-3.51175840367206,0.000445152471805142,0.0816762045664143
"Fam83h",906.049341534281,-0.488434894132065,0.13941677434201,-3.50341554262232,0.000459332290410415,0.0834090614772067
"Cdk9",1556.89059233781,-0.148518953539447,0.0425465293178601,-3.49074192232883,0.000481681298495886,0.0865748407316993
"Krt7",75.0793838788942,-1.80592629231282,0.518222618879306,-3.4848465244884,0.000492419395026085,0.0876108608483783
"6330403L08Rik",66.7997178945803,-1.0737726326799,0.310011659296311,-3.46365241590343,0.000532894604101392,0.0938640555664192
"Tmem132d",53.1888417625029,1.04710492656178,0.303040966001838,3.4553246723594,0.000549630530041242,0.0958533876846182
"Uhmk1",1977.71045343542,0.257466278870103,0.0745870390749135,3.45189032925023,0.000556673941144592,0.0961299490129494
"Gm26398",21.9341568146246,-1.81005393359029,0.526017274039421,-3.44105416860254,0.000579452516485242,0.0981391983208755
"Kdf1",279.33151022958,-0.416737888259134,0.121046327252813,-3.44279663594212,0.000575732075591074,0.0981391983208755
"Eps8l2",283.871948470201,-1.14139013171892,0.33400701622733,-3.41726393837809,0.000632539232382448,0.106109962277947
"Ldoc1",48.5593446265104,-1.37471663126167,0.404200154232108,-3.40107893791711,0.000671204427022903,0.108535242663939
"Sipa1l3",2099.48236509216,-0.368993386992788,0.108536561749097,-3.39971509182118,0.000674561010169059,0.108535242663939
"A230103J11Rik",216.729860524152,-0.286634417164373,0.0842784018036998,-3.40104239081323,0.000671294170832522,0.108535242663939
"Neil1",202.752486284633,-0.358462035611269,0.105169890706463,-3.40840931946734,0.000653427988206865,0.108535242663939
"Pygl",98.0408832146061,-0.898886161392292,0.264502557607496,-3.39840253161626,0.000677806102704285,0.108535242663939
"Bivm",1035.20431269047,0.279135502622587,0.0826781085793205,3.37617184789354,0.000735019942034382,0.114572046539766
"Fstl3",20.2396516529397,-1.28838456425239,0.381610253954281,-3.37617910132662,0.00073500056364696,0.114572046539766
"Dapk3",746.807141362146,-0.407862024735445,0.120791436300002,-3.3765806354224,0.000733928558718364,0.114572046539766
"Cr1l",681.673901670871,0.401801401531478,0.119356959679479,3.36638435337559,0.000761605091912468,0.116638281311432
"Ralgds",1001.27527577843,-0.462965371067644,0.138019180980142,-3.35435529887875,0.000795501471921334,0.116638281311432
"Fnbp1l",4396.88195560912,0.249668467760291,0.0743941713761177,3.35602189179623,0.000790723093571676,0.116638281311432
"Nr2c2",1408.99072149211,0.185509810830979,0.0553231871607315,3.35320180111847,0.000798824405730639,0.116638281311432
"Gm45838",42.7280590544378,0.593639600674254,0.176665957049282,3.36023765183383,0.000778754528359132,0.116638281311432
"Ap3d1",3689.80856129143,-0.199619208834787,0.059545833553059,-3.3523623219904,0.000801250825404976,0.116638281311432
"Mt2",2561.71860493742,-0.859492632819632,0.255711216774719,-3.36118471321046,0.000776089051145432,0.116638281311432
"Aldh3b2",17.8009839416587,-1.45522608041456,0.432238717795967,-3.36671848333005,0.000760682986312375,0.116638281311432
"Rac3",230.893389333239,-0.46284224818504,0.138534919138975,-3.34097894640358,0.000834835533286744,0.119760432801436
"Lnpep",3457.93685977823,0.310447318885066,0.0929382393196667,3.34036152565,0.000836693942242985,0.119760432801436
"Zfp81",871.29250232399,0.318971294404613,0.0956145548222394,3.33601191782595,0.000849895202689874,0.119760432801436
"Kdm5d",15.0475944609027,1.64645805272244,0.493443772359488,3.33666801558688,0.000847891620955612,0.119760432801436
"Blmh",3473.52634693083,0.223955414546683,0.0672081783829793,3.33226431566848,0.000861423994779325,0.120421605111453
"Mlf1",85.9401626353973,0.51401824128436,0.154545072103713,3.32600861539868,0.000880992054986523,0.122187354775847
"Kantr",234.756607142263,0.322066258613671,0.0971108679059146,3.31648007641846,0.00091159086954176,0.125443449813348
"Gm22051",24.6099358264019,-1.71659060792377,0.520476625352391,-3.29811277646051,0.000973370314192503,0.132093870779747
"Sct",31.0691238805692,-2.97836981352926,0.904934492543695,-3.29125460248212,0.000997415965351782,0.132093870779747
"Map2k2",2127.75960914827,-0.347424291290526,0.105530916438432,-3.29215648850372,0.000994222730600001,0.132093870779747
"Pank3",2792.80775053152,0.346962592149196,0.105355746195499,3.29324792124169,0.000990371041491842,0.132093870779747
"Rin1",193.178914084601,-0.775818981295204,0.235333322738831,-3.29668137204774,0.000978344228443053,0.132093870779747
"Scube3",538.129161992992,-0.56633348022094,0.172390343757712,-3.28518099028157,0.00101916880676635,0.133967457928227
"Arvcf",1024.12116785279,-0.403653210479999,0.123349905845429,-3.2724241474965,0.00106629479963187,0.139123826671969
"Zfp951",151.182806611582,1.80543121294838,0.552653424768632,3.26684162629449,0.00108754502295735,0.140853073782138
"Zfp62",2152.89606171735,0.296701820711543,0.0909649987560144,3.26171411827701,0.00110740763682188,0.142259820177722
"Acap2",2395.76570795568,0.245672309027804,0.0753621788106684,3.25988861926357,0.00111455973569466,0.142259820177722
"Pomgnt1",1024.71394927962,-0.168325780820788,0.051759497340762,-3.25207526094398,0.00114565681886242,0.144139994338876
"Gm45774",40.5644635810742,-0.994544335123944,0.30576126639061,-3.25268254826435,0.00114321137523549,0.144139994338876
"Zdhhc20",1557.05533945734,0.309796995817935,0.095533035918779,3.24282582290508,0.00118350539043761,0.147845843596936
"Slc4a7",3794.77799251084,0.422656732917815,0.130479659291713,3.23925380562868,0.00119842878281374,0.148655806904798
"Hfm1",69.1575680342241,0.8232626567499,0.25465460966569,3.23285982464907,0.00122557683448123,0.150960212325541
"Kcnk6",291.598441230344,-0.582502915332949,0.180666361397211,-3.22419132608901,0.00126328966369912,0.154524889836085
"Nemp2",538.831041287935,0.304118452060253,0.0952292651395997,3.1935398389816,0.00140539944059318,0.160744842510444
"Atp11c",986.848613006441,0.395793729706395,0.123427825990149,3.20668152850707,0.00134275557190307,0.160744842510444
"B4galt1",1649.66404509362,-0.458103176272946,0.14277672932013,-3.20852829767378,0.00133416179501998,0.160744842510444
"Plpp3",559.1858102634,-0.548484227742867,0.171402081274205,-3.19998580918871,0.00137434354165957,0.160744842510444
"Stx1a",183.407309603872,-0.409564261354539,0.127887794397708,-3.20252814808009,0.00136226986287619,0.160744842510444
"Tmem168",1034.56139500697,0.335304115295692,0.104903347391502,3.19631473764445,0.00139195183697815,0.160744842510444
"4930404N11Rik",30.6984651680002,-0.906156536968921,0.283702269853694,-3.1940404898284,0.00140296438428231,0.160744842510444
"4833445I07Rik",63.282177511324,-0.49562629823682,0.155182558124222,-3.19382734907666,0.00140400057837831,0.160744842510444
"Erlec1",763.149665600264,0.364207831545123,0.113700378240209,3.20322444992822,0.00135898020425387,0.160744842510444
"H3f3b",9948.27924144632,0.187693102680395,0.0585816556941451,3.20395694618707,0.00135552745635097,0.160744842510444
"Gm32885",114.407256847198,2.10770710466654,0.661761420428484,3.1849954373312,0.00144756290534852,0.164499180740702
"Impdh1",1254.4587212542,-0.386542755942561,0.121893487670537,-3.17115182549653,0.00151835762911793,0.171438149226174
"Gm29417",41.2288698502986,-1.3512387844714,0.427398538202415,-3.16154283108814,0.00156935736864976,0.176067902492974
"C9orf72",449.289023615965,0.4324383691072,0.137001296032021,3.15645458570061,0.00159699754133464,0.178034903120685
"Szt2",2053.74329769547,-0.238568626574455,0.0757733702757157,-3.14844945798739,0.00164139104818958,0.180507890604942
"Napa",1749.17319089413,-0.321106158109376,0.101961492855711,-3.1492885119266,0.00163668524738735,0.180507890604942
"Zfp553",2373.53977996942,-0.267053254016371,0.0848968230374564,-3.145621290193,0.00165734457865219,0.180507890604942
"Slc16a9",23.6118980681187,-1.40230632465648,0.445866984905011,-3.14512258617945,0.00166017249222213,0.180507890604942
"Kif13a",2180.31581818973,-0.245125456840811,0.0780630249545516,-3.14009682539875,0.00168892003306898,0.182506978297405
"Mir466l",14.6272797575345,-1.5116348902344,0.482048886827684,-3.13585391760227,0.00171354534074652,0.183111952606294
"Gal3st3",157.722928533799,-0.759638141804546,0.242266159084194,-3.1355520088984,0.00171531010446455,0.183111952606294
"Itch",3127.522638837,0.149885481505908,0.0478567508905014,3.13196108630219,0.00173642888623035,0.184249749410009
"Scai",916.782101395932,0.472337170454325,0.151176330828311,3.1244121871879,0.00178160690732013,0.187045405497896
"Man2c1",1358.0218194837,-0.316957579933104,0.101458408993267,-3.12401488529292,0.0017840143138212,0.187045405497896
"Strbp",4787.90706161399,0.335150992566479,0.107469868627402,3.11855775806748,0.00181738517586844,0.189416701110927
"Mppe1",102.377200525925,-0.477458621531054,0.153252267611765,-3.11550771138085,0.00183628547346285,0.190260778409263
"Wdr45",302.001100133015,-0.606581180583655,0.195440377176522,-3.10366357938303,0.00191140538910718,0.196885932887332
"Cfap36",722.213528359405,0.387025291292784,0.124920258007188,3.09817876993588,0.00194713933178803,0.199400652268107
"Fkbp8",3909.52793423202,-0.204333268420742,0.0660802981478848,-3.0921965267689,0.00198681265650636,0.20133944205464
"Dock4",534.648473960454,0.408169306606802,0.132013311105921,3.09187992625462,0.00198893283283226,0.20133944205464
"Ndor1",1278.91621156859,-0.274330029860229,0.0887755188343954,-3.0901540589357,0.00200052699466876,0.201355899909117
"Prrc2b",10763.5118732759,-0.265319222101014,0.0860228036601082,-3.08428940713603,0.00204039006136713,0.203047630174693
"Crlf1",146.12619160176,-0.750695019243451,0.243372107692863,-3.08455651043969,0.0020385587877929,0.203047630174693
"Mmgt1",993.329661508438,0.324581013805655,0.105557290342823,3.07492748962672,0.00210553736675467,0.208353568415825
"Dpysl4",78.5014078177401,1.18180102822757,0.384775532357576,3.0714037895978,0.00213054813227304,0.20848597112143
"Adgrg6",120.580891806881,-1.45729673486093,0.474322732600391,-3.07237379678506,0.00212363611120003,0.20848597112143
"Spr",485.172048641783,-0.2945157770168,0.0959749646831558,-3.06867293975143,0.00215011840317024,0.209238594217904
"Atp5d",2730.66546671067,-0.335251739864978,0.109643728542793,-3.05764629058681,0.00223082723221046,0.210665698035126
"Crk",3940.40762531319,0.145156705789033,0.0474512847580227,3.05906797949219,0.00222026762605202,0.210665698035126
"Gm4130",445.189314158617,-0.396982804605569,0.129857599266186,-3.05706255813202,0.00223517622154094,0.210665698035126
"Tnpo1",12990.0293706847,0.317392927178769,0.10382907122876,3.05687919021713,0.00223654397255414,0.210665698035126
"AI661453",448.34226543798,-0.77340535642704,0.252924565490567,-3.05784989657671,0.00222931212884593,0.210665698035126
"Gm5500",17.6154961157055,-1.04701352836786,0.342458077224429,-3.05734803177588,0.00223304838388934,0.210665698035126
"Stx4a",698.124475800465,-0.466483180152096,0.153144762028091,-3.04602765366882,0.00231886506808174,0.216370433110235
"Dnaaf1",28.1321899695797,-1.11946225586044,0.367559425958747,-3.04566330448585,0.00232167661279859,0.216370433110235
"Gm38104",23.6485835479671,1.10122363641976,0.361848978422518,3.04332387843278,0.00233980358163997,0.216912106773718
"Grid2ip",13.6400092432978,-1.10347701316208,0.363192948329734,-3.03826662449476,0.00237943326707106,0.219040531259349
"Tsen34",1110.86058689762,-0.338890871307321,0.111589365105114,-3.03694595796022,0.00238988298612788,0.219040531259349
"Slc25a30",812.770561215881,0.255737491634026,0.0842443437203248,3.03566364625056,0.00240006940689534,0.219040531259349
"Zfp970",227.475357347076,0.423560317258032,0.139839495304612,3.02890336049476,0.00245443182487867,0.222847227646458
"Nrf1",1881.27330721562,-0.191100414049441,0.0631331479752621,-3.02694258370137,0.00247040877698309,0.223020206971574
"Gm11639",12.9122127042012,1.15543572676156,0.381890426421766,3.02556871505723,0.00248166007530536,0.223020206971574
"Nek7",1122.84436180866,0.277316254873271,0.0919036533710367,3.01746714848952,0.00254896667524918,0.223912583059035
"Thbd",46.0118831579149,-1.05413260328248,0.349428584341732,-3.01673260436979,0.0025551509705272,0.223912583059035
"Btf3l4",709.078769330534,0.248800716294527,0.0823134870375856,3.02259964009204,0.00250613562888522,0.223912583059035
"9330159F19Rik",67.6343582692022,1.00881789221624,0.334336234657437,3.01737528763486,0.00254973932319671,0.223912583059035
"Hhip",84.4220868650752,0.907894771977559,0.300823025810703,3.01803616771299,0.00254418538498436,0.223912583059035
"Rnft1",781.797392486426,0.541414674216855,0.179601753417194,3.01452888914291,0.00257378698255376,0.224213819085573
"Msi2",5927.46112829586,0.28112053250554,0.0932925676622402,3.0133218492101,0.00258404708041168,0.224213819085573
"Zbtb48",440.976421345428,-0.255246907360617,0.0849278242413246,-3.00545680571453,0.00265182257520538,0.226948504604463
"Capg",766.310327820835,-0.716258559907744,0.238636142801871,-3.00146721908099,0.00268681966259802,0.226948504604463
"Dctn1",2651.74099781765,-0.555781357565799,0.18521216451593,-3.00078215174682,0.00269287143535443,0.226948504604463
"Psap",3380.03259238262,-0.409938248670239,0.136516497456714,-3.00284768732965,0.00267466257151324,0.226948504604463
"Wwc2",3198.40416715658,-0.418683695480586,0.139386333442375,-3.00376432280342,0.00266661801767301,0.226948504604463
"Sar1b",525.515982259903,0.297658824151318,0.098997668017507,3.00672561396779,0.00264078008738929,0.226948504604463
"Pmm2",818.235846632239,-0.291486063006725,0.0971941318871668,-2.99900886346835,0.00270859426940149,0.227186568863038
"Rpgr",531.802416579585,0.407429507802395,0.136245932323617,2.99039759098754,0.00278614535862705,0.232370934693037
"Exoc4",3808.86478955541,-0.237629247839108,0.0795333218547391,-2.98779482985908,0.00280998121321772,0.232370934693037
"Mark2",2757.18998515451,-0.244140704407297,0.0817090083208067,-2.98792886396014,0.00280874920726329,0.232370934693037
"Hic2",2590.52539937482,-0.26668317923396,0.0894844531042247,-2.98021801533891,0.00288043299514943,0.237083863441879
